text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,comment_text,comment_text_norm,keep,keep_reason
"Most of the women you saw are my sister that our Dad took to college and university,I was left out after high school,My dad gives my sister money up now, I was given nothing, Am a boy a. a man,5 years after college,upto now my dad pays my sisters rent.. she have job .I have created my bussines from scratch,she have baby daddy who pays most of her bills.. I have learnt that no one is coming rescue me, Am building my empire now I stay low very low..",269,20.0,2025-11-11T16:50:17.000Z,mikeftubfkg,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7418634942626350086,7571511131064255243,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/92684011fdefae64ddef16e9e5eaea8f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4e96da2d&x-expires=1775620800&x-signature=TqqaHWRahB6prRWQoydziuCXnSk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"Most of the women you saw are my sister that our Dad took to college and university,I was left out after high school,My dad gives my sister money up now, I was given nothing, Am a boy a. a man,5 years after college,upto now my dad pays my sisters rent.. she have job .I have created my bussines from scratch,she have baby daddy who pays most of her bills.. I have learnt that no one is coming rescue me, Am building my empire now I stay low very low..","Most of the women you saw are my sister that our Dad took to college and university,I was left out after high school,My dad gives my sister money up now, I was given nothing, Am a boy a. a man,5 years after college,upto now my dad pays my sisters rent.. she have job .I have created my bussines from scratch,she have baby daddy who pays most of her bills.. I have learnt that no one is coming rescue me, Am building my empire now I stay low very low..",True,piece_relevant
It's about time. The performance culture is draining. It's time to stay grounded and operate in clarity.,333,7.0,2025-11-11T10:51:15.000Z,karanjakibuku,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6697879360987530245,7571418569730360076,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/474877a436513517a1a1aa11696ebb73~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1a2196c1&x-expires=1775620800&x-signature=NXnKldevTbmSPe06rxzLheTvANU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,It's about time. The performance culture is draining. It's time to stay grounded and operate in clarity.,It's about time. The performance culture is draining. It's time to stay grounded and operate in clarity.,True,substantive_broad
Walking away from systems set up by the same men is ironical..but maybe it is well needed👌🏾🤷🏽‍♀️,34,19.0,2025-11-12T04:47:40.000Z,crystaldwkkg1,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7206843959279256581,7571695883827692299,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9fe3f347937abff91cf31b624dee6738~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=83dbceef&x-expires=1775620800&x-signature=7%2FR9wa2HvemZg23Sh76a2524NO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Walking away from systems set up by the same men is ironical..but maybe it is well needed👌🏾🤷🏽‍♀️,Walking away from systems set up by the same men is ironical..but maybe it is well needed👌🏾🤷🏽‍♀️,True,piece_relevant
Most men used to go to clubs to grow and bond with fellow men away from the other gender until they started following them kwa clubs tena😅,141,4.0,2025-11-11T16:53:36.000Z,_nick_finest8,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7176697661764125701,7571511953438704395,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/9fe50cb77376c74423d911ecbe08708f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2cc8dcaf&x-expires=1775620800&x-signature=V5zBJIo9%2BX4xoJn76FEcVrZ6IoY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Most men used to go to clubs to grow and bond with fellow men away from the other gender until they started following them kwa clubs tena😅,Most men used to go to clubs to grow and bond with fellow men away from the other gender until they started following them kwa clubs tena😅,True,piece_relevant
"I will put it simple and more clearer
""When a cat wants to be a lion 🦁,it must loose appetite for rats...""
Rejuvenation, Refocusing, Redirecting and Rebuilding.
Thank you",12,0.0,2025-11-12T05:37:41.000Z,ngunjiri_rn,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7016695557624923142,7571708823015555852,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/69c63a90e4704e367d5415e9ad26e995~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7661f2c8&x-expires=1775620800&x-signature=JWmkOVNBvqppIfMCg0qc%2BmrW2E8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"I will put it simple and more clearer
""When a cat wants to be a lion 🦁,it must loose appetite for rats...""
Rejuvenation, Refocusing, Redirecting and Rebuilding.
Thank you","I will put it simple and more clearer ""When a cat wants to be a lion 🦁,it must loose appetite for rats..."" Rejuvenation, Refocusing, Redirecting and Rebuilding. Thank you",True,piece_relevant
"I think we have done it too much partied too much,,clubs,events,roadtrips...Everything....Saa hii ikifika 9PM ushaanza kusinzia..And no si kukosa pesa",49,7.0,2025-11-11T16:59:28.000Z,tashmwa,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6865181290548364293,7571513473630667532,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/6a460c49b48d8bed37e452932ecc7ca6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9e0e9cfe&x-expires=1775620800&x-signature=bO3%2Fp17S%2FETET31ensr7L8Gn8Sg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"I think we have done it too much partied too much,,clubs,events,roadtrips...Everything....Saa hii ikifika 9PM ushaanza kusinzia..And no si kukosa pesa","I think we have done it too much partied too much,,clubs,events,roadtrips...Everything....Saa hii ikifika 9PM ushaanza kusinzia..And no si kukosa pesa",True,piece_relevant
Personally as a mulima man I left the clubs and drinking and went to church..good news mission church to be specific and my life changed drastically.,699,20.0,2025-11-11T16:05:01.000Z,francisngigi85,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6833238327581230085,7571499459906274104,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/0600d5c446169bf9e2448b9afe008e95~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=18a08a43&x-expires=1775620800&x-signature=U6xB2bKf%2BxMqazL3gOoKxuydv2Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Personally as a mulima man I left the clubs and drinking and went to church..good news mission church to be specific and my life changed drastically.,Personally as a mulima man I left the clubs and drinking and went to church..good news mission church to be specific and my life changed drastically.,True,piece_relevant
"I can almost guarantee you, sio evolving, probably ni kusota. Unachunga ile kidogo iko ndio ukule 😂😂. This is not evolving, is called adaptation 😂😂",478,43.0,2025-11-11T16:25:54.000Z,jaynel_jay,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7502931758687388673,7571504833401520952,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/48f3b154529765783adb06199fb47824~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=32ebd77d&x-expires=1775620800&x-signature=nMwyeNsnx5uPkEfxpvhwD%2FMR8T4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,"I can almost guarantee you, sio evolving, probably ni kusota. Unachunga ile kidogo iko ndio ukule 😂😂. This is not evolving, is called adaptation 😂😂","I can almost guarantee you, sio evolving, probably ni kusota. Unachunga ile kidogo iko ndio ukule 😂😂. This is not evolving, is called adaptation 😂😂",True,piece_relevant
"As one of them, I am buried into hustling ..infact I don't know such events where they happen...if I had that 15 k now, I'd spend it on the windows for my house, or i would have just bought feeds for my cows...I think men are there, we are just silently building..we are drained financially and mentally unstable... truth be be told, pesa ya mwanamke ni yake pekee yake but ya mwanaume ni yake Hadi na inlaws😭😭😭",8,0.0,2025-11-12T03:14:19.000Z,justusmburu2,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7126267257965642757,7571671839329387276,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/3735ca5c5a437c6bf6fdf35509b716ef~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c6d99716&x-expires=1775620800&x-signature=jkzaVfzG8nZf%2Fcy6z65mT3%2FWJoo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,"As one of them, I am buried into hustling ..infact I don't know such events where they happen...if I had that 15 k now, I'd spend it on the windows for my house, or i would have just bought feeds for my cows...I think men are there, we are just silently building..we are drained financially and mentally unstable... truth be be told, pesa ya mwanamke ni yake pekee yake but ya mwanaume ni yake Hadi na inlaws😭😭😭","As one of them, I am buried into hustling ..infact I don't know such events where they happen...if I had that 15 k now, I'd spend it on the windows for my house, or i would have just bought feeds for my cows...I think men are there, we are just silently building..we are drained financially and mentally unstable... truth be be told, pesa ya mwanamke ni yake pekee yake but ya mwanaume ni yake Hadi na inlaws😭😭😭",True,piece_relevant
"clubbing isn't a vibe as a man I have to choose family over clubbing. I'm 30 years and I feel this is the right time to settle down and have a family, I don't want to waste my time anymore .",28,4.0,2025-11-11T18:35:01.000Z,user34021413178545,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7321861873070326789,7571538104676238136,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/728102a390220106e62ae215106730c2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a2675cce&x-expires=1775620800&x-signature=1zowHwLn2x%2FHPR7sz37%2FTu%2Bw2Gk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,"clubbing isn't a vibe as a man I have to choose family over clubbing. I'm 30 years and I feel this is the right time to settle down and have a family, I don't want to waste my time anymore .","clubbing isn't a vibe as a man I have to choose family over clubbing. I'm 30 years and I feel this is the right time to settle down and have a family, I don't want to waste my time anymore .",True,piece_relevant
