file,comment_number,decision,reason,starting_text,comment_text
instagram_a_happy_women_s_day_documentary_announcement.csv,1,Remove,"Unrelated promotion/request about another movie, not reaction to this content.",phili kuna beste yangu ameandika movie mzima kali inaitwa SHADOWs of GITHURAI i hope ukipata time u hear him out,phili kuna beste yangu ameandika movie mzima kali inaitwa SHADOWs of GITHURAI i hope ukipata time u hear him out
instagram_a_happy_women_s_day_documentary_announcement.csv,2,Keep,Related to the piece and/or scope; usable for audience reception coding.,😢😢 am heartbroken 💔😭 I just saw the documentary 😭 am sad the system has failed busia,😢😢 am heartbroken 💔😭 I just saw the documentary 😭 am sad the system has failed busia
instagram_a_happy_women_s_day_documentary_announcement.csv,3,Keep,Related to the piece and/or scope; usable for audience reception coding.,i had goosebumps watching this😢😢😢,i had goosebumps watching this😢😢😢
instagram_a_happy_women_s_day_documentary_announcement.csv,4,Keep,Related to the piece and/or scope; usable for audience reception coding.,Something that most people don't realize is that what these so called activists are doing is not just raising awareness on issues affecting a women but they're fighting a male chil,"Something that most people don't realize is that what these so called activists are doing is not just raising awareness on issues affecting a women but they're fighting a male child, and i'm telling you they know what they're doing and they're doing it on purpose. The real fight is on male child and a man in general."
instagram_a_happy_women_s_day_documentary_announcement.csv,5,Keep,Related to the piece and/or scope; usable for audience reception coding.,I admire you as a person..and your work is remarkable. Thank You for using your platform to bring change ❤️💐🙏,I admire you as a person..and your work is remarkable. Thank You for using your platform to bring change ❤️💐🙏
instagram_a_happy_women_s_day_documentary_announcement.csv,6,Keep,Related to the piece and/or scope; usable for audience reception coding.,I wish  this is the time when mzazi yeyote akikupata ukifanya kosa anakupa onyo coz i think mengi ya haya hayangekuwa yanafanyika.,I wish  this is the time when mzazi yeyote akikupata ukifanya kosa anakupa onyo coz i think mengi ya haya hayangekuwa yanafanyika.
instagram_a_happy_women_s_day_documentary_announcement.csv,7,Keep,Related to the piece and/or scope; usable for audience reception coding.,🙌🙌 this is so educative,🙌🙌 this is so educative
instagram_a_happy_women_s_day_documentary_announcement.csv,8,Keep,Related to the piece and/or scope; usable for audience reception coding.,I'm from watching this documentary. Phil receive your flowers. 👏,I'm from watching this documentary. Phil receive your flowers. 👏
instagram_a_happy_women_s_day_documentary_announcement.csv,9,Keep,Related to the piece and/or scope; usable for audience reception coding.,The conversations that we should be having 😢😢,The conversations that we should be having 😢😢
instagram_a_happy_women_s_day_documentary_announcement.csv,10,Keep,Related to the piece and/or scope; usable for audience reception coding.,I love this! 👏 Every aspect of sexual violence and harassment must be fully addressed—nothing should be dismissed as “that’s just a small matter.” Such animosity has no place and m,I love this! 👏 Every aspect of sexual violence and harassment must be fully addressed—nothing should be dismissed as “that’s just a small matter.” Such animosity has no place and must be eradicated.
instagram_a_happy_women_s_day_documentary_announcement.csv,11,Keep,Related to the piece and/or scope; usable for audience reception coding.,"This is a great job, please go as deep as those gvt offices and have them explain why the justice system is f@*d up, our female leaders need to give us answers as to why they are i","This is a great job, please go as deep as those gvt offices and have them explain why the justice system is f@*d up, our female leaders need to give us answers as to why they are in those positions is they  can't do what is supposed to be done . They are women in leadership because we needed women to represent us there, not to twerk on TikTok...... I wonder why those who give life are the ones to go though such"
instagram_a_happy_women_s_day_documentary_announcement.csv,12,Keep,Related to the piece and/or scope; usable for audience reception coding.,Finally we found someone to help us know what's going on 😍😍😍😍😍good job,Finally we found someone to help us know what's going on 😍😍😍😍😍good job
instagram_a_happy_women_s_day_documentary_announcement.csv,13,Remove,Too thin/generic praise; not enough substance for audience coding.,"Phil,THANK YOU!!!","Phil,THANK YOU!!!"
