url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
https://x.com/ionexiss/status/1830597544688099534,https://twitter.com/ionexiss/status/1830597544688099534,1830597544688099534,"While women fantasize about relationships, men fantasize about greatness. While women fantasize about cuddling, men fantasize about conquering. As men, we want to do something.
We crave significance, influence, and impact

A man's desire for greatness is so strong that he will attempt to experience it through someone else eg A man who shows up with a jersey with the number of a player always considered to be great.

Your greatness should make the lives within your sphere of influence better, not worse. Your greatness ought to inspire other men because they see your impact for good in the lives of others.",35,6,282,0,Mon Sep 02 13:24:00 +0000 2024,45,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,"While women fantasize about relationships, men fantasize about greatness. While women fantasize about cuddling, men fantasize about conquering. As men, we want to do something.
We crave significance, influence, and impact

A man's desire for greatness is so strong that he will attempt to experience it through someone else eg A man who shows up with a jersey with the number of a player always considered to be great.

Your greatness should make the lives within your sphere of influence better, not worse. Your greatness ought to inspire other men because they see your impact for good in the lives of others.","while women fantasize about relationships, men fantasize about greatness. while women fantasize about cuddling, men fantasize about conquering. as men, we want to do something. we crave significance, influence, and impact a man's desire for greatness is so strong that he will attempt to experience it through someone else eg a man who shows up with a jersey with the number of a player always considered to be great. your greatness should make the lives within your sphere of influence better, not worse. your greatness ought to inspire other men because they see your impact for good in the lives of others.",v2,103,True,False,True,False,False,False,True,True,False,False,emoji_or_punct_only
https://x.com/Small_wigs/status/1830596982278328481,https://twitter.com/Small_wigs/status/1830596982278328481,1830596982278328481,"@amerix The only love that is unconditional is the love for yourself. The rest, you have to do something to be loved.",12,11,230,0,Mon Sep 02 13:21:46 +0000 2024,11,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,"@amerix The only love that is unconditional is the love for yourself. The rest, you have to do something to be loved.","@amerix the only love that is unconditional is the love for yourself. the rest, you have to do something to be loved.",v2,22,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
https://x.com/MathuAlfred/status/1830596282173604048,https://twitter.com/MathuAlfred/status/1830596282173604048,1830596282173604048,"@amerix Love is definitely a two-way street. True love thrives on mutual respect, trust, and understanding. 

While it's important for a woman to respect and support her partner, love can't flourish unless it’s reciprocated.",10,24,149,0,Mon Sep 02 13:18:59 +0000 2024,1,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,"@amerix Love is definitely a two-way street. True love thrives on mutual respect, trust, and understanding. 

While it's important for a woman to respect and support her partner, love can't flourish unless it’s reciprocated.","@amerix love is definitely a two-way street. true love thrives on mutual respect, trust, and understanding. while it's important for a woman to respect and support her partner, love can't flourish unless it's reciprocated.",v2,38,True,True,True,False,False,False,True,False,False,False,emoji_or_punct_only
https://x.com/thekingmaker211/status/1830599154730414451,https://twitter.com/thekingmaker211/status/1830599154730414451,1830599154730414451,"@amerix A woman must obey, submit, and respect her man to be loved.

This view aligns with traditional patriarchal structures but is contested by modern feminist .",9,2,63,0,Mon Sep 02 13:30:24 +0000 2024,5,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,"@amerix A woman must obey, submit, and respect her man to be loved.

This view aligns with traditional patriarchal structures but is contested by modern feminist .","@amerix a woman must obey, submit, and respect her man to be loved. this view aligns with traditional patriarchal structures but is contested by modern feminist .",v2,26,True,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
https://x.com/muriaso/status/1830599763584037071,https://twitter.com/muriaso/status/1830599763584037071,1830599763584037071,@amerix Seems I was right teacher https://t.co/ZUhr46maAI,3,1,36,0,Mon Sep 02 13:32:49 +0000 2024,1,False,True,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,@amerix Seems I was right teacher https://t.co/ZUhr46maAI,@amerix seems i was right teacher https://t.co/zuhr46maai,v2,10,False,True,True,False,False,False,False,False,False,False,emoji_or_punct_only
https://x.com/YaGal_Eunndrio/status/1830597587755237656,https://twitter.com/YaGal_Eunndrio/status/1830597587755237656,1830597587755237656,@amerix We gat your point amerix👏👏 https://t.co/15rtI5lj8x,1,0,39,0,Mon Sep 02 13:24:10 +0000 2024,0,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,@amerix We gat your point amerix👏👏 https://t.co/15rtI5lj8x,@amerix we gat your point amerix👏👏 https://t.co/15rti5lj8x,v2,10,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
https://x.com/Iam_belvin/status/1830598273427456333,https://twitter.com/Iam_belvin/status/1830598273427456333,1830598273427456333,"@amerix Massive wisdom this one. So, literally modern-day love fraudsters have reversed the order, making it so hard to find love.",0,1,28,0,Mon Sep 02 13:26:53 +0000 2024,0,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,"@amerix Massive wisdom this one. So, literally modern-day love fraudsters have reversed the order, making it so hard to find love.","@amerix massive wisdom this one. so, literally modern-day love fraudsters have reversed the order, making it so hard to find love.",v2,22,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
https://x.com/Luchi_Robin/status/1830617791671742723,https://twitter.com/Luchi_Robin/status/1830617791671742723,1830617791671742723,"@amerix Love is a fallacy. It's women who purport to love men but in reality it's because of what men can provide.
#Changeorperish",1,1,22,0,Mon Sep 02 14:44:27 +0000 2024,1,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,"@amerix Love is a fallacy. It's women who purport to love men but in reality it's because of what men can provide.
#Changeorperish",@amerix love is a fallacy. it's women who purport to love men but in reality it's because of what men can provide. #changeorperish,v2,25,True,False,True,False,False,False,False,True,False,False,emoji_or_punct_only
https://x.com/Mfalme_Sauli/status/1830596269808501043,https://twitter.com/Mfalme_Sauli/status/1830596269808501043,1830596269808501043,"@amerix In summery Kings, If a woman disrespects you, she deserves to be abandoned to suffer the pain of her ignorance. 

Very crucial. #BetterTogether",1,0,17,0,Mon Sep 02 13:18:56 +0000 2024,0,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,"@amerix In summery Kings, If a woman disrespects you, she deserves to be abandoned to suffer the pain of her ignorance. 

Very crucial. #BetterTogether","@amerix in summery kings, if a woman disrespects you, she deserves to be abandoned to suffer the pain of her ignorance. very crucial. #bettertogether",v2,24,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
https://x.com/curtiske6/status/1830595613391569356,https://twitter.com/curtiske6/status/1830595613391569356,1830595613391569356,@amerix A what happens to women who find someone younger than them?,0,6,17,0,Mon Sep 02 13:16:19 +0000 2024,0,False,False,Tweet_A woman can't love a man. It is a man who loves a woman..xlsx,text,@amerix A what happens to women who find someone younger than them?,@amerix a what happens to women who find someone younger than them?,v2,12,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
