Content ID,Question ID,Source
1951546068304314751,Q18,llm
1951546068304314751,Q3,llm
1951561231522746625,Q18,llm
1951568877998965117,Q18,llm
1951568877998965117,Q3,llm
1951583978584002773,Q18,llm
1951583978584002773,Q3,llm
1951614290114310219,Q18,llm
1951644655797362727,Q18,llm
1951644655797362727,Q3,llm
1954098073262522452,Q18,llm
1954098073262522452,Q3,llm
1954188481585873209,Q18,llm
1954188481585873209,Q3,llm
1954196373861003731,Q18,llm
1954196373861003731,Q3,llm
1962749588588187787,Q3,llm
1973440936542720469,Q18,llm
1975078851945394590,Q18,llm
1975078851945394590,Q3,llm
1976936284460351491,Q18,llm
1976936284460351491,Q3,llm
1976943608214212735,Q18,llm
1976943608214212735,Q3,llm
1977034206967378054,Q18,llm
1977034206967378054,Q3,llm
2035227655516061989,Q3,llm
2035235206035034470,Q18,llm
2035235206035034470,Q3,llm
2035265419842359420,Q18,llm
2035265419842359420,Q3,llm
2035333355189747989,Q18,llm
2039621704155045988,Q18,llm
2039621704155045988,Q3,llm
2040406554671829239,Q18,llm
2040414105522065830,Q18,llm
2043969069993378270,Q18,llm
2043969069993378270,Q3,llm
2047918654382112910,Q18,llm
2047918654382112910,Q3,llm
2047926330331684873,Q18,llm
2047926330331684873,Q3,llm
2047971502197195023,Q3,llm
2048054872243618116,Q3,llm
EDDY-001,Q3,llm
EDDY-005,Q18,llm
EDDY-012,Q3,llm
EDDY-012,Q8,human
EDDY-017,Q18,llm
EDDY-023,Q18,llm
EDDY-023,Q3,llm
EDDY-028,Q18,llm
EDDY-031,Q3,llm
EDDY-034,Q8,human
EDDY-036,Q3,llm
EDDY-037,Q3,llm
EDDY-040,Q8,human
EDDY-041,Q3,llm
EDDY-051,Q3,llm
EDDY-052,Q8,human
EDDY-055,Q3,llm
EDDY-060,Q3,llm
KIBE-001,Q18,llm
KIBE-001,Q8,human
KIBE-002,Q18,llm
KIBE-003,Q18,llm
KIBE-003,Q3,llm
KIBE-004,Q18,llm
KIBE-004,Q3,llm
KIBE-005,Q3,llm
KIBE-008,Q18,llm
KIBE-016,Q18,llm
KIBE-016,Q3,llm
KIBE-020,Q18,llm
KIBE-029,Q18,llm
KIBE-029,Q3,llm
KIBE-036,Q3,llm
KIBE-049,Q18,llm
KIBE-049,Q3,llm
KIBE-058,Q3,llm
KIBE-064,Q3,llm
KIBE-067,Q18,llm
KIBE-067,Q3,llm
KIBE-069,Q18A,human
KIBE-091,Q3,llm
PHIL-001,Q8,human
PHIL-002,Q3,llm
PHIL-002,Q8,human
PHIL-005,Q2,human
PHIL-005,Q8,human
PHIL-006,Q3,llm
PHIL-025,Q3,llm
PHIL-031,Q3,llm
PHIL-034,Q3,llm
PHIL-035,Q8,human
PHIL-036,Q2,human
PHIL-036,Q8,human
PHIL-039,Q3,llm
RIX-007,Q3,llm
RIX-007,Q8,human
RIX-009,Q2,human
RIX-009,Q3,llm
RIX-009,Q8,human
RIX-015,Q3,llm
RIX-018,Q3,llm
RIX-028,Q3,human
RIX-028,Q8,human
RIX-046,Q3,llm
RIX-047,Q3,llm
RIX-054,Q3,llm
RIX-065,Q18,llm
RIX-068,Q3,llm
RIX-072,Q8,human
RIX-073,Q3,llm
RIX-082,Q8,human
RIX-088,Q8,human
