Question ID,Question,Option,Valid rows,Human present count,LLM present count,Binary percent agreement,Binary Krippendorff alpha
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Compelling question,200,8,21,0.935000,0.517892
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Use of all CAPS,200,5,6,0.975000,0.533770
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Humor or sarcasm,200,4,0,0.980000,-0.007576
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something violent or gross,200,3,4,0.985000,0.564885
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something sexual,200,6,8,0.980000,0.704663
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something surprising,200,37,31,0.870000,0.540485
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Uses a news headline or social media trend as opener,200,3,2,0.985000,0.393924
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Interesting visual or meme,200,0,0,1.000000,
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Other,200,24,0,0.880000,-0.061170
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Dating/marriage,200,83,62,0.745000,0.449655
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Friends/socializing,200,11,2,0.955000,0.286225
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Family/children,200,41,42,0.825000,0.469233
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Money/status,200,16,16,0.880000,0.186821
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Fitness/self-improvement,200,2,2,0.980000,-0.007576
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Mental health,200,61,35,0.820000,0.507813
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Gender issues,200,94,44,0.530000,-0.037338
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Social issues,200,43,16,0.795000,0.186888
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Religion/morality,200,14,2,0.930000,0.090820
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Gaming/technology,200,1,0,0.995000,0.000000
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Other,200,11,0,0.945000,-0.025707
Q3,Q3. Characterize the type of content.,Interview/conversational content,200,98,98,1.000000,1.000000
Q3,Q3. Characterize the type of content.,Motivational/self-help content,200,37,31,0.970000,0.893958
Q3,Q3. Characterize the type of content.,Commentary/reaction content,200,112,71,0.775000,0.547858
Q3,Q3. Characterize the type of content.,Other,200,1,0,0.995000,0.000000
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to dominate/lead,200,38,33,0.925000,0.743782
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to provide/succeed,200,13,9,0.950000,0.520202
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men are disadvantaged/victims,200,10,3,0.965000,0.444842
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to improve themselves,200,10,5,0.955000,0.378182
