Question ID,Question,Option,Valid rows,Excluded flagged rows,Human present,LLM present,Both present,Binary percent agreement,Binary Krippendorff alpha
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Compelling question,200,0,8,8,3,0.950000,0.350586
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Use of all CAPS,200,0,5,4,4,0.995000,0.886616
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Humor or sarcasm,200,0,4,0,0,0.980000,-0.007576
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something violent or gross,200,0,3,1,1,0.990000,0.496212
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something sexual,200,0,6,0,0,0.970000,-0.012690
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something surprising,200,0,37,1,1,0.820000,-0.044199
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Uses a news headline or social media trend as opener,200,0,3,0,0,0.985000,-0.005038
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Interesting visual or meme,200,0,0,0,0,1.000000,1.000000
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Other,200,0,24,0,0,0.880000,-0.061170
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Dating/marriage,197,3,83,66,62,0.873096,0.730859
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Friends/socializing,197,3,11,2,2,0.954315,0.285887
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Family/children,197,3,40,35,25,0.873096,0.589342
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Money/status,197,3,16,18,10,0.928934,0.550490
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Fitness/self-improvement,197,3,2,3,1,0.984772,0.393830
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Mental health,197,3,61,74,51,0.832487,0.629086
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Gender issues,197,3,94,170,90,0.573604,0.038112
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Social issues,197,3,40,40,24,0.837563,0.499363
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Religion/morality,197,3,14,4,3,0.939086,0.303191
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Gaming/technology,197,3,1,0,0,0.994924,0.000000
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Other,197,3,11,0,0,0.944162,-0.026110
Q3,Q3. Characterize the type of content.,Interview/conversational content,142,58,73,8,7,0.528169,-0.153135
Q3,Q3. Characterize the type of content.,Motivational/self-help content,142,58,17,19,5,0.816901,0.175851
Q3,Q3. Characterize the type of content.,Commentary/reaction content,142,58,83,133,81,0.619718,-0.040441
Q3,Q3. Characterize the type of content.,Other,142,58,0,0,0,1.000000,1.000000
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to dominate/lead,200,0,39,53,29,0.830000,0.521245
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to provide/succeed,200,0,12,9,4,0.935000,0.348285
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men are disadvantaged/victims,200,0,10,2,0,0.940000,-0.028351
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to improve themselves,200,0,10,2,2,0.960000,0.314433
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to be fully self-reliant,200,0,17,6,2,0.905000,0.125706
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to be emotionally open,200,0,20,41,15,0.845000,0.401857
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to not show emotions,200,0,11,2,1,0.945000,0.127609
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to be equal partners,200,0,2,1,1,0.995000,0.664987
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Mixed/unclear,200,0,12,0,0,0.940000,-0.028351
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Other,200,0,29,0,0,0.855000,-0.075472
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Not applicable,200,0,102,89,65,0.695000,0.390290
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Kenyan or Nigerian political/social problems,184,16,23,7,4,0.880435,0.203748
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Global political/social/cultural problems,184,16,29,52,20,0.777174,0.352734
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Western political/social influence,184,16,2,0,0,0.989130,-0.002732
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Women/feminism,184,16,78,80,65,0.847826,0.690295
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Men's behavior,184,16,80,5,2,0.559783,-0.235793
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Economic/status pressure,184,16,12,9,6,0.951087,0.546727
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Mental health/emotional struggle,184,16,46,58,40,0.869565,0.679196
Q8,Q8. What problem is being identified in the content? Choose all that apply.,No clear problem is identified,184,16,12,1,1,0.940217,0.125244
Q8,Q8. What problem is being identified in the content? Choose all that apply.,Other,184,16,31,0,0,0.831522,-0.089021
Q9,Q9. What solution is being proposed? Choose all that apply.,Social or political change,200,0,11,10,4,0.935000,0.348285
Q9,Q9. What solution is being proposed? Choose all that apply.,Assert dominance/control,200,0,42,56,33,0.840000,0.568590
Q9,Q9. What solution is being proposed? Choose all that apply.,More wealth/status,200,0,5,6,3,0.975000,0.533770
Q9,Q9. What solution is being proposed? Choose all that apply.,More self-discipline/fitness,200,0,13,2,2,0.945000,0.240000
Q9,Q9. What solution is being proposed? Choose all that apply.,More emotional growth/healing,200,0,36,60,30,0.820000,0.507812
Q9,Q9. What solution is being proposed? Choose all that apply.,More equality/respect for men,200,0,16,7,4,0.925000,0.309768
Q9,Q9. What solution is being proposed? Choose all that apply.,More equality/respect for women,200,0,7,28,5,0.875000,0.219178
Q9,Q9. What solution is being proposed? Choose all that apply.,Building community,200,0,13,12,6,0.935000,0.446720
Q9,Q9. What solution is being proposed? Choose all that apply.,No clear solution,200,0,81,37,25,0.660000,0.184638
Q9,Q9. What solution is being proposed? Choose all that apply.,Other,200,0,26,0,0,0.870000,-0.066845
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Advice/instruction,200,0,72,32,24,0.720000,0.274168
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Personal story,200,0,48,32,30,0.900000,0.688281
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Commentary/opinion,200,0,126,142,104,0.700000,0.323270
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Debate/argument,200,0,23,0,0,0.885000,-0.058355
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Humor/satire,200,0,1,0,0,0.995000,0.000000
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,Motivational speech,200,0,18,10,2,0.880000,0.080645
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,News/telling facts,200,0,6,5,2,0.965000,0.347277
