Metric,Value
Single-answer average percent agreement,0.580569
Single-answer average Krippendorff alpha,0.199544
Multi-select average binary percent agreement,0.868860
Multi-select average binary Krippendorff alpha,0.258290
Overall average question percent agreement,0.739129
Overall average question Krippendorff alpha,0.231855
Compared Content IDs,200
Human-only Content IDs,0
LLM-only Content IDs,0
Open-text columns excluded,"Q10A, Q12A, Q13A, Q18B, Q1B, Q2A, Q3A, Q7A, Q8A, Q9A"
Excluded flagged scored cells total,116
Excluded flagged scored cells from human,21
Excluded flagged scored cells from LLM,96
