author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,comment_text,comment_text_norm,keep,keep_reason
@cnyawira5541,"Educate the men, they're the elders and decision makers in the community. Reason with the elders and provide an alternative. Bringing down a practice like this is an attack on the culture, so the men in the culture need to lead the sensitisation",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,"Educate the men, they're the elders and decision makers in the community. Reason with the elders and provide an alternative. Bringing down a practice like this is an attack on the culture, so the men in the culture need to lead the sensitisation","Educate the men, they're the elders and decision makers in the community. Reason with the elders and provide an alternative. Bringing down a practice like this is an attack on the culture, so the men in the culture need to lead the sensitisation",True,piece_relevant
@atuyanyamusi2596,Thank you for this conversation ❤...i also went through the same fgm but i want to stand up for young girls from kisii not to be taken through it,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Thank you for this conversation ❤...i also went through the same fgm but i want to stand up for young girls from kisii not to be taken through it,Thank you for this conversation ❤...i also went through the same fgm but i want to stand up for young girls from kisii not to be taken through it,True,piece_relevant
@Julie-kyalo,More Grace Phil and the entire team as you persue and educate us about these things,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,More Grace Phil and the entire team as you persue and educate us about these things,More Grace Phil and the entire team as you persue and educate us about these things,True,creator_reaction
@immaculate-v9o,"Brought up in a maa culture, chauvinism is what causes most of the fgm and early marriage/pregnancy in the community. They get educated but what to live like the old times",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,"Brought up in a maa culture, chauvinism is what causes most of the fgm and early marriage/pregnancy in the community. They get educated but what to live like the old times","Brought up in a maa culture, chauvinism is what causes most of the fgm and early marriage/pregnancy in the community. They get educated but what to live like the old times",True,piece_relevant
@MercyNyakio-kp7ok,"Me watching today,what  a great informative documentary, how i wish every  person can watch it and  share as well.we should stop early marriages through educating our girls and on the other side say no to fgm,,oh my goodness listening to this story its makes me feel so  sad ,our government should do something, let it implemented  the laws in the rightful  manner",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,"Me watching today,what  a great informative documentary, how i wish every  person can watch it and  share as well.we should stop early marriages through educating our girls and on the other side say no to fgm,,oh my goodness listening to this story its makes me feel so  sad ,our government should do something, let it implemented  the laws in the rightful  manner","Me watching today,what a great informative documentary, how i wish every person can watch it and share as well.we should stop early marriages through educating our girls and on the other side say no to fgm,,oh my goodness listening to this story its makes me feel so sad ,our government should do something, let it implemented the laws in the rightful manner",True,piece_relevant
@jecintakagai1397,What a conversation!👌🏾,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,What a conversation!👌🏾,What a conversation!👌🏾,True,content_reaction
@benterbii,I has to pause and cry first😭😭😭really  this is happening.,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,I has to pause and cry first😭😭😭really  this is happening.,I has to pause and cry first😭😭😭really this is happening.,True,content_reaction
@Celinekaruri,Unfortunately its happening even to date breaks me the most recent case being hat gaala girl in wajir💔💔💔,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Unfortunately its happening even to date breaks me the most recent case being hat gaala girl in wajir💔💔💔,Unfortunately its happening even to date breaks me the most recent case being hat gaala girl in wajir💔💔💔,True,piece_relevant
@abigailkhumaloel-selahgosp9922,"This is very informative and enlightening. Its so sad to hear how a girl child has to suffer so a man can be satisfied at their expense 😢
God of justice arise and advocate for the defenceless. 
It's amazing how brainwashing and manipulation can cause people to believe if an innocent child is not put through such atrocious pain, a curse will come upon the family.. such lies 🙄",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,"This is very informative and enlightening. Its so sad to hear how a girl child has to suffer so a man can be satisfied at their expense 😢
God of justice arise and advocate for the defenceless. 
It's amazing how brainwashing and manipulation can cause people to believe if an innocent child is not put through such atrocious pain, a curse will come upon the family.. such lies 🙄","This is very informative and enlightening. Its so sad to hear how a girl child has to suffer so a man can be satisfied at their expense 😢 God of justice arise and advocate for the defenceless. It's amazing how brainwashing and manipulation can cause people to believe if an innocent child is not put through such atrocious pain, a curse will come upon the family.. such lies 🙄",True,piece_relevant
@sarahnemi4593,This is a well initiative that enlight each and every community that is still practicing FGM. keep the good work Phil and the cruel.,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,This is a well initiative that enlight each and every community that is still practicing FGM. keep the good work Phil and the cruel.,This is a well initiative that enlight each and every community that is still practicing FGM. keep the good work Phil and the cruel.,True,piece_relevant
@ceramum,Thanks for shedding a light on this topic. We need to address these issues as a society. End child marriage and FGM,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,0,Thanks for shedding a light on this topic. We need to address these issues as a society. End child marriage and FGM,Thanks for shedding a light on this topic. We need to address these issues as a society. End child marriage and FGM,True,piece_relevant
@annmunyi901,"Good job Phil.

You would have been a great presenter/ new anchor",186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,1,"Good job Phil.

You would have been a great presenter/ new anchor",Good job Phil. You would have been a great presenter/ new anchor,True,creator_reaction
@fridahmwakoi9,What a conversation 😢,186,https://www.youtube.com/watch?v=9lkDNN9BQOU,0,Episode 1: A Girl Dad on a Mission|Is my daughter really safe in this world?,comment,,1,What a conversation 😢,What a conversation 😢,True,content_reaction
