Content ID,Human_Q1,LLM_Q1,Exact_Q1,Human_Q1A,LLM_Q1A,Exact_Q1A,Jaccard_Q1A,Human_Q2,LLM_Q2,Exact_Q2,Jaccard_Q2,Human_Q3,LLM_Q3,Exact_Q3,Human_Q4,LLM_Q4,Exact_Q4,Human_Q5,LLM_Q5,Exact_Q5,Human_Q6,LLM_Q6,Exact_Q6,Human_Q7,LLM_Q7,Exact_Q7,Jaccard_Q7,Human_Q8,LLM_Q8,Exact_Q8,Jaccard_Q8,Human_Q9,LLM_Q9,Exact_Q9,Jaccard_Q9,Human_Q10,LLM_Q10,Exact_Q10,Jaccard_Q10,Human_Q11,LLM_Q11,Exact_Q11,Jaccard_Q11,Human_Q12,LLM_Q12,Exact_Q12,Human_Q13,LLM_Q13,Exact_Q13,Human_Q14,LLM_Q14,Exact_Q14,Human_Q15,LLM_Q15,Exact_Q15,Human_Q16,LLM_Q16,Exact_Q16,Human_Q17,LLM_Q17,Exact_Q17,Human_Q18,LLM_Q18,Exact_Q18,Human_Q18A,LLM_Q18A,Exact_Q18A,Jaccard_Q18A
1951546068304314751,No,No,1,,,,,Dating/marriage; Money/status,Dating/marriage,0,0.500000,"Commentary/reaction content, motivational/self-help content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Other,Mixed/unclear,0,0.000000,Other; Women/feminism,Economic/status pressure,0,0.000000,More equality/respect for men,No clear solution,0,0.000000,Advice/instruction; Commentary/opinion,Commentary/opinion,0,0.500000,Entertainment/escapism; Self expression/identity construction,Information seeking,0,0.000000,Generalizations about men/women,Generalizations about men/women,1,Presented as common sense,Presented as common sense,1,Neutral,Neutral,1,Negative,Negative,1,Positive,Positive,1,Yes,Yes,1,Yes,Yes,1,Calls for men to follow more traditional gender norms; Other,Calls for men to follow more traditional gender norms,0,0.500000
1951561231522746625,No,No,1,,,,,Dating/marriage,Family/children,0,0.000000,Commentary/reaction content,Commentary/reaction content,1,"Yes, implicitly","Yes, implicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Men need to dominate/lead,Men need to dominate/lead,1,1.000000,Women/feminism,No clear problem is identified,0,0.000000,Assert dominance/control,No clear solution,0,0.000000,Advice/instruction,Commentary/opinion,0,0.000000,Information seeking,Information seeking,1,1.000000,Mixed,Generalizations about men/women,0,Presented as common sense,Presented as common sense,1,Positive,Positive,1,Negative,Negative,1,Positive,Positive,1,Somewhat,Somewhat,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
1951568877998965117,No,No,1,,,,,Dating / Marriage,Dating/marriage,0,0.000000,Commentary Content,Commentary/reaction content,0,"Yes, explicitly","Yes, explicitly",1,More regressive,More regressive / traditional / restrictive,0,NO,NO,1,,,,,Women / Women's Behavior,Men’s behavior,0,0.000000,No clear solution,No clear solution,1,1.000000,Debate / Argument,Advice/instruction,0,0.000000,None of these apply,Information seeking,0,0.000000,Generalizations about women,Facts/statistics,0,No Justification,References data,0,Mixed,Mixed,1,Negative,Negative,1,Positive,Positive,1,NO,NO,1,NO,NO,1,,,,
1951583978584002773,Yes,Yes,1,Compelling question,Compelling question,1,1.000000,Dating/marriage,Mental health,0,0.000000,Commentary/reaction content,Commentary/reaction content,1,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Other,Mixed/unclear,0,0.000000,Other; Women/feminism,No clear problem is identified,0,0.000000,More equality/respect for men,More equality/respect for men,1,1.000000,Advice/instruction; Commentary/opinion,Advice/instruction,0,0.500000,Entertainment/escapism; Self expression/identity construction,Information seeking,0,0.000000,Generalizations about men/women,Generalizations about men/women,1,Presented as common sense,Presented as common sense,1,Mixed,Mixed,1,Negative,Negative,1,Positive,Positive,1,NO,NO,1,Yes,Yes,1,Calls for men to follow more traditional gender norms; Other,Calls for men to follow more traditional gender norms,0,0.500000
1951614290114310219,No,No,1,,,,,Dating/marriage,Gender issues,0,0.000000,Commentary/reaction content,Commentary/reaction content,1,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Men need to dominate/lead,Men need to dominate/lead,1,1.000000,Women/feminism,Women/feminism,1,1.000000,Assert dominance/control,No clear solution,0,0.000000,Commentary/opinion,Commentary/opinion,1,1.000000,Information seeking,Information seeking,1,1.000000,Generalizations about men/women,Generalizations about men/women,1,Presented as common sense,Presented as common sense,1,Neutral,Neutral,1,Negative,Negative,1,Positive,Positive,1,Somewhat,Somewhat,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
1951636792672661776,Yes,Yes,1,Other,Shares something surprising,0,0.000000,Friends/socializing; Other,Gender issues,0,0.000000,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Men need to dominate/lead; Other,Men need to dominate/lead,0,0.500000,Other; Women/feminism,Western political/social influence,0,0.000000,Assert dominance/control; Other,No clear solution,0,0.000000,Commentary/opinion; Motivational speech,Commentary/opinion,0,0.500000,Self expression/identity construction; Status seeking,Information seeking,0,0.000000,"Generalizations about men/women, Cultural/social observations",Generalizations about men/women,0,"No justification, Presented as common sense",Presented as common sense,0,Positive,Positive,1,Negative,Negative,1,Positive,Positive,1,Yes,Yes,1,Yes,Yes,1,Calls for men to follow more traditional gender norms; Other,Calls for men to follow more traditional gender norms,0,0.500000
1951644655797362727,Yes,Yes,1,Other,Shares something surprising,0,0.000000,Dating/marriage; Mental health,Gender issues,0,0.000000,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Men need to dominate/lead; Men need to not show emotions,Men need to dominate/lead,0,0.500000,Men's behavior,Women/feminism,0,0.000000,More self-discipline/fitness; Other,More self-discipline/fitness,0,0.500000,Advice/instruction; Commentary/opinion; Motivational speech,Advice/instruction,0,0.333333,Information seeking; Self expression/identity construction; Status seeking,Information seeking,0,0.333333,"Generalizations about men/women, Cultural/social observations",Generalizations about men/women,0,"No justification, Presented as common sense",Presented as common sense,0,Mixed,Mixed,1,Mixed,Mixed,1,Positive,Positive,1,Somewhat,Somewhat,1,Yes,Yes,1,Calls for men to follow more traditional gender norms; Other,Calls for men to follow more traditional gender norms,0,0.500000
1951659746303377415,Yes,Yes,1,Use of all CAPS,Compelling question,0,0.000000,Gender issues,Money/status,0,0.000000,"Commentary/reaction content, motivational/self-help content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Men need to dominate/lead; Other,Men need to provide/succeed,0,0.000000,Other,No clear problem is identified,0,0.000000,More equality/respect for men; More self-discipline/fitness,No clear solution,0,0.000000,Advice/instruction; Commentary/opinion,Commentary/opinion,0,0.500000,Entertainment/escapism; Self expression/identity construction,Information seeking,0,0.000000,Generalizations about men/women,Generalizations about men/women,1,Presented as common sense,Presented as common sense,1,Mixed,Mixed,1,Not mentioned,Not mentioned,1,Positive,Positive,1,NO,NO,1,NO,NO,1,,,,
1954098073262522452,Yes,Yes,1,Shares something surprising,Shares something violent or gross,0,0.000000,"Dating/marriage; Gender issues, e.g. equality; Mental health",Dating/marriage,0,0.333333,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Men are disadvantaged/victims; Men need to be fully self-reliant; Men need to dominate/lead,Men need to dominate/lead,0,0.333333,Mental health/emotional struggle; Men’s behavior; Women/feminism,No clear problem is identified,0,0.000000,Assert dominance/control; More equality/respect for men,Assert dominance/control,0,0.500000,Advice/instruction; Motivational speech,Advice/instruction,0,0.500000,Connection/social interaction; Information seeking; Self expression/identity construction,Information seeking,0,0.333333,Generalizations about men/women,Generalizations about men/women,1,Presented as common sense,Presented as common sense,1,Neutral,Neutral,1,Negative,Negative,1,Positive,Positive,1,Somewhat,Somewhat,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
1954120691185250750,Yes,Yes,1,Other,Shares something surprising,0,0.000000,Dating/marriage,Gender issues,0,0.000000,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive / traditional / restrictive,0,Yes,Yes,1,Men need to be fully self-reliant; Men need to dominate/lead; Men need to not show emotions,Men need to be emotionally open,0,0.000000,Women/feminism,No clear problem is identified,0,0.000000,Assert dominance/control,More emotional growth/healing,0,0.000000,Advice/instruction; Commentary/opinion; Motivational speech,Advice/instruction,0,0.333333,Self expression/identity construction; Status seeking,Information seeking,0,0.000000,Generalizations about men/women,Generalizations about men/women,1,"No justification, Presented as common sense",Presented as common sense,0,Negative,Negative,1,Negative,Negative,1,Positive,Positive,1,Somewhat,Somewhat,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
