text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,comment_text,comment_text_norm,keep,keep_reason
"I'm 38 na sina gari,lakini niko niko healthy that's all that matters 💯",2019,38.0,2025-07-21T03:41:09.000Z,gracyqui1,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6838445902206649349,7529375087465153336,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7336592956855418888~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=53cb7311&x-expires=1775613600&x-signature=X7MM7z5qeZ96%2FUGX84uUzulv6YA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"I'm 38 na sina gari,lakini niko niko healthy that's all that matters 💯","I'm 38 na sina gari,lakini niko niko healthy that's all that matters 💯",True,piece_relevant
"atleast nimesoma kitu,...ego is loud,growth is quiet ..",1168,13.0,2025-07-21T05:39:05.000Z,kate_smily,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6824027968115049477,7529405469451256581,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/299a2cf55b132bc9e1c270385b2d7e24~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2f387092&x-expires=1775613600&x-signature=%2FjdktsAdyb6nVEOeXi24eXqlEng%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"atleast nimesoma kitu,...ego is loud,growth is quiet ..","atleast nimesoma kitu,...ego is loud,growth is quiet ..",True,piece_relevant
I sold my car to take care of dads health ..I don't feel like I failed.,487,20.0,2025-07-21T14:18:38.000Z,zackdemosh,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6863795585797276673,7529539409411277624,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/242392e38091152d86d3f89646d608eb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=83872c52&x-expires=1775613600&x-signature=yTM7A8%2FnyCJkJSZbTzgvQkJel%2FE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,I sold my car to take care of dads health ..I don't feel like I failed.,I sold my car to take care of dads health ..I don't feel like I failed.,True,piece_relevant
My dad bought his first car yesterday at 54years......life haina manual,269,11.0,2025-07-23T04:04:41.000Z,shironganga25,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7016616343429628934,7530123352934040376,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/2aef689564a4e3e8af5807716f7e9080~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3479e474&x-expires=1775613600&x-signature=VvN28uUQVZAtDnImD1khg8ZTd5g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,My dad bought his first car yesterday at 54years......life haina manual,My dad bought his first car yesterday at 54years......life haina manual,True,piece_relevant
"advice this boy...
at age 29 I owned a car today am 40 and I don't own one.",647,26.0,2025-07-20T22:14:33.000Z,nicholas.ngaithe,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7229775247237628934,7529290954781786885,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/584266a1a7e258aa39d62e7772f86bfc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=32da1ed4&x-expires=1775613600&x-signature=dPfaPBXj%2FS6VkYbEM4VTQdShUU8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"advice this boy...
at age 29 I owned a car today am 40 and I don't own one.",advice this boy... at age 29 I owned a car today am 40 and I don't own one.,True,piece_relevant
Good health is what we should be wishing for. Everything else is just extras,128,6.0,2025-07-21T04:26:09.000Z,fyne_tattoo,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6910533061835244550,7529386740068696839,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d2557cde95d8baa4e9eb7681f0b49e66~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2341bdb3&x-expires=1775613600&x-signature=UwkkuhpieEsNL7g9cdyZVkv3zD8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Good health is what we should be wishing for. Everything else is just extras,Good health is what we should be wishing for. Everything else is just extras,True,piece_relevant
My mum is above 50. She has multiple cars plus a driver but she still takes a matatu.,190,11.0,2025-07-21T08:02:20.000Z,constancewanjiru,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6843320124452652038,7529442381927367480,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/e2ef01d4db99b55ec535ee235c336a9c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3b660691&x-expires=1775613600&x-signature=XokPO2%2FfvJBejZnizUNDrY2IYN4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,My mum is above 50. She has multiple cars plus a driver but she still takes a matatu.,My mum is above 50. She has multiple cars plus a driver but she still takes a matatu.,True,piece_relevant
"Who remembers that story of our Luo sister who worked for UN for over 20 years n had bought property in Runda, posh cars but then something happened drastically, job cut n she couldn't service her loans- The bank auctioned almost everything..she went to zero! True life has a way of humbling some of us when least expected..nature is so unforgiving at times 🥺🥺🥺",182,34.0,2025-07-21T02:09:33.000Z,kizee282,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7223778788260725765,7529351504596665094,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/53765c4abe29ee8508d3e85e5a312d47~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=f24ad261&x-expires=1775613600&x-signature=Y%2Bvx92BNjvudS71ZwVHbym20oNM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"Who remembers that story of our Luo sister who worked for UN for over 20 years n had bought property in Runda, posh cars but then something happened drastically, job cut n she couldn't service her loans- The bank auctioned almost everything..she went to zero! True life has a way of humbling some of us when least expected..nature is so unforgiving at times 🥺🥺🥺","Who remembers that story of our Luo sister who worked for UN for over 20 years n had bought property in Runda, posh cars but then something happened drastically, job cut n she couldn't service her loans- The bank auctioned almost everything..she went to zero! True life has a way of humbling some of us when least expected..nature is so unforgiving at times 🥺🥺🥺",True,piece_relevant
owned two cars two years ago. am now battling depression from missed business,55,18.0,2025-07-21T20:50:44.000Z,thechemicalbiochemist,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7247934573227541509,7529640446177379077,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/48b2d0780469303b9e17a0ab1936a4a8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3692be9d&x-expires=1775613600&x-signature=W6wxd0e9NBy8ewPV%2Fd6yoYN9Tgs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,owned two cars two years ago. am now battling depression from missed business,owned two cars two years ago. am now battling depression from missed business,True,piece_relevant
"Ego is Loud
Growth is quiet 👌🏽",112,2.0,2025-07-21T07:33:17.000Z,edelkweyu,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7224532189186655237,7529434888187183928,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/340b21caec726e4b0affa2443629a4f9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2a1dde06&x-expires=1775613600&x-signature=%2Bjd8XkES6AVU%2FkJYjGWvM%2FjVbwQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"Ego is Loud
Growth is quiet 👌🏽",Ego is Loud Growth is quiet 👌🏽,True,piece_relevant
