Content ID,Question ID,Flag type,Original value,Cleaned value,Note
EDDY-003,Q18B,shortened other specify,Calls for greater emotional intelligence within men.,Calls for greater emotional intelligence,Prompt requests 1-5 words
RIX-017,Q8,normalized multi-select formatting,Economic status/pressure,Economic/status pressure,Standardized separators/case/order/exact labels
RIX-070,Q2,normalized multi-select formatting,"Mental health, gender issues","Mental health, Gender issues",Standardized separators/case/order/exact labels
RIX-070,Q18B,shortened other specify,Calls for men to be more emotionally open,Calls for men to be,Prompt requests 1-5 words
RIX-080,Q2,normalized multi-select formatting,"Mental health, gender issues","Mental health, Gender issues",Standardized separators/case/order/exact labels
RIX-083,Q2,normalized multi-select formatting,"Mental health, gender issues","Mental health, Gender issues",Standardized separators/case/order/exact labels
RIX-083,Q7A,shortened other specify,Men need to express their emotions in which ever way they personally deem fit.,Men need to express their,Prompt requests 1-5 words
RIX-083,Q9A,shortened other specify,Men being free to express their emotions how they deem fit,Men being free to express,Prompt requests 1-5 words
RIX-086,Q2,normalized multi-select formatting,"Gender issues, social issues, Mental health","Mental health, Gender issues, Social issues",Standardized separators/case/order/exact labels
PHIL-007,Q2,normalized multi-select formatting,"Gender issues, social issues","Gender issues, Social issues",Standardized separators/case/order/exact labels
PHIL-011,Q2,normalized multi-select formatting,"Gender issues, social issues","Gender issues, Social issues",Standardized separators/case/order/exact labels
PHIL-012,Q2,normalized multi-select formatting,"Gender issues, social issues, Dating/marriage","Dating/marriage, Gender issues, Social issues",Standardized separators/case/order/exact labels
PHIL-019,Q2,normalized multi-select formatting,"Gender issues, social issues, Dating/marriage","Dating/marriage, Gender issues, Social issues",Standardized separators/case/order/exact labels
PHIL-029,Q12,normalized multi-select formatting,Anecdotal examples,Stories about men/women,Standardized separators/case/order/exact labels
KIBE-014,Q18,unresolved noncanonical value,Other,Other,Needs manual review; left as-is
KIBE-014,Q18A,normalized multi-select formatting,Dominate more,Other,Standardized separators/case/order/exact labels
KIBE-014,Q18,invalid Q18 value replaced,Other,Yes,Q18 only allows Yes/No
KIBE-014,Q18B,missing other specify,,,Q18A includes Other but specify is blank
KIBE-052,Q7,normalized multi-select formatting,Men need to dominate/ead,Men need to dominate/lead,Standardized separators/case/order/exact labels
KIBE-052,Q18,unresolved noncanonical value,Other,Other,Needs manual review; left as-is
KIBE-052,Q18A,normalized multi-select formatting,Dominate more,Other,Standardized separators/case/order/exact labels
KIBE-052,Q18,invalid Q18 value replaced,Other,Yes,Q18 only allows Yes/No
KIBE-052,Q18B,missing other specify,,,Q18A includes Other but specify is blank
KIBE-061,Q2,normalized multi-select formatting,"Gender issues, social issues","Gender issues, Social issues",Standardized separators/case/order/exact labels
KIBE-077,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
KIBE-091,Q7,normalized multi-select formatting,Men need to now show emotions,Men need to not show emotions,Standardized separators/case/order/exact labels
KIBE-091,Q10,normalized multi-select formatting,"Personal story, commentary/opinion","Personal story, Commentary/opinion",Standardized separators/case/order/exact labels
KIBE-091,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
1951561231522746625,Q7,normalized multi-select formatting,"Men need to dominate/lead, Men need to now show emotions","Men need to dominate/lead, Men need to not show emotions",Standardized separators/case/order/exact labels
1951561231522746625,Q8,normalized multi-select formatting,"Men's behavior, Women/feminism","Women/feminism, Men's behavior",Standardized separators/case/order/exact labels
1951561231522746625,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
1951614290114310219,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
1954835680426635741,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
1954835680426635741,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
1954835680426635741,Q9A,shortened other specify,Unlearn what they previously thought about women loving men,Unlearn what they previously thought,Prompt requests 1-5 words
1975245528242729101,Q1A,normalized multi-select formatting,Uses all CAPS,Use of all CAPS,Standardized separators/case/order/exact labels
1975245528242729101,Q8,normalized multi-select formatting,"Men's behavior, Women/feminism","Women/feminism, Men's behavior",Standardized separators/case/order/exact labels
1975245528242729101,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
1975245528242729101,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
2040406554671829239,Q8,normalized multi-select formatting,"Men's behavior, Women/feminism","Women/feminism, Men's behavior",Standardized separators/case/order/exact labels
2040406554671829239,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
2040406554671829239,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
2040459874526433729,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
2040459874526433729,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
2046157177539162148,Q2,normalized multi-select formatting,"Gender issues, social issues","Gender issues, Social issues",Standardized separators/case/order/exact labels
2046157177539162148,Q8,normalized multi-select formatting,"Men's behavior, Global political/social/cultural problems","Global political/social/cultural problems, Men's behavior",Standardized separators/case/order/exact labels
2046157177539162148,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
2046157177539162148,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
2046157177539162148,Q13,normalized multi-select formatting,References external sources,References external sources such as other influencers,Standardized separators/case/order/exact labels
2046157177539162148,Q7A,shortened other specify,Men need to not fall for women who pander to them.,Men need to not fall,Prompt requests 1-5 words
2046157177539162148,Q18B,shortened other specify,Calls for men to watch out for pandering women.,Calls for men to watch,Prompt requests 1-5 words
2048821238248669312,Q2,normalized multi-select formatting,"Gender issues, social issues","Gender issues, Social issues",Standardized separators/case/order/exact labels
2048821238248669312,Q4,normalized label/case,Yes,"Yes, explicitly",Mapped to exact prompt label
2048821238248669312,Q8,normalized multi-select formatting,"Men's behavior, Global political/social/cultural problems","Global political/social/cultural problems, Men's behavior",Standardized separators/case/order/exact labels
2048821238248669312,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
2048821238248669312,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
2048821238248669312,Q7A,shortened other specify,Men need to not abuse other men,Men need to not abuse,Prompt requests 1-5 words
2048821238248669312,Q18B,shortened other specify,Calls for men to not abuse other men.,Calls for men to not,Prompt requests 1-5 words
1954188481585873209,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
1954188481585873209,Q11,normalized multi-select formatting,"Information seeking, connetion/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
RIX-081,Q10,normalized multi-select formatting,"Advice/instruction, commentary/opinion","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels
2043969069993378270,Q8,normalized multi-select formatting,"Men's behavior, Women/feminism","Women/feminism, Men's behavior",Standardized separators/case/order/exact labels
2043969069993378270,Q11,normalized multi-select formatting,"Information seeking, connection/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
2043969069993378270,Q18B,shortened other specify,Calls for men to show more respect to women for their submission.,Calls for men to show,Prompt requests 1-5 words
KIBE-002,Q2,normalized multi-select formatting,"Mental health, Dating/marriage","Dating/marriage, Mental health",Standardized separators/case/order/exact labels
KIBE-002,Q1B,shortened other specify,Use of curse word.,Use of curse word,Prompt requests 1-5 words
EDDY-036,Q2,normalized multi-select formatting,Mental heath,Mental health,Standardized separators/case/order/exact labels
2048009544043758028,Q8,normalized multi-select formatting,"Men's behavior, Women/feminism","Women/feminism, Men's behavior",Standardized separators/case/order/exact labels
2048009544043758028,Q11,normalized multi-select formatting,"Information seeking, connection/social interaction","Information seeking, Connection/social interaction",Standardized separators/case/order/exact labels
