dataset,country,row_id,source_sheet,creator,orientation,platform,source_url,content_type,context,text,themes,primary_theme,sentiment,emotions,framing,argument_type,toxicity_0_3,misogyny_0_3,hate_speech,women_portrayal,moral_foundations,key_terms,rationale
content,Kenya,EDDY-001,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,"[Eddy describes his rock-bottom moment after a failed county-government job, business losses, separation from wife, and being auctioned/evicted]","With no proper income coming through, I was kicked out of my rented house twice and got auctioned once. My friend Alan put me up the two times, and I had to do something unthinkable. At 39 years of age, I went back home, knocked on the door, and I told my mom, 'I failed.' It was extremely painful. On the surface, I kept a straight face, but deep down, I was burning. And several times, I wanted to let go.","[""mental health/trauma/healing"", ""family/fatherhood/parenting"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,negative,"[""pain"", ""shame""]",vulnerability/healing,personal story,0,0,none,positive/equal/respected,"[""care/harm"", ""loyalty/betrayal""]","[""income"", ""auctioned"", ""failed"", ""painful""]","The content focuses on personal struggles with mental health and family dynamics, highlighting vulnerability and the pain of failure."
content,Kenya,EDDY-002,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Eddy explains how taking the Nakuru county communications job led to long-distance marriage and financial strain],"Now, I had to supplement my salary, which had dipped after taking the county job. And like many other men would have done, I ventured into business. I ended up committing my full salary to service this loans, but the hole got even deeper. Everything I had planned to do at that time collapsed face-flat. So one thing led to another, I betrayed my marriage. I separated from my wife due to infidelity. Missed my children, and this killed me every single day and night. And I'm still trying to make up for that.","[""relationships/love/loyalty"", ""male self-improvement/discipline/purpose"", ""mental health/trauma/healing"", ""family/fatherhood/parenting""]",relationships/love/loyalty,negative,"[""regret"", ""sadness"", ""guilt""]",vulnerability/healing,personal story,0,0,none,negative/problematic,"[""loyalty/betrayal"", ""care/harm""]","[""salary"", ""infidelity"", ""separation"", ""children"", ""regret""]","The content reflects on personal failures in relationships and the emotional toll of infidelity, emphasizing vulnerability and the impact on family."
content,Kenya,EDDY-003,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Eddy's closing message to men in the Engage Kenya audience],"Because at the end of it all, when all is said and done, we must recognize that being perfect is a fairy tale. Failure, scarcity, and shortcomings are all part of being a man, a father, a husband. Openness, honesty, communication are key to your relationship with your partners, but sometimes, it can be difficult.","[""relationships/love/loyalty"", ""male self-improvement/discipline/purpose"", ""family/fatherhood/parenting"", ""mental health/trauma/healing""]",relationships/love/loyalty,positive,"[""hopeful"", ""vulnerable""]",vulnerability/healing,advice/prescription,0,0,none,positive/equal/respected,"[""care/harm"", ""loyalty/betrayal""]","[""openness"", ""honesty"", ""communication"", ""failure"", ""shortcomings""]","The content emphasizes the importance of openness and honesty in relationships while acknowledging the challenges men face, aligning with themes of vulnerability and self-improvement."
content,Kenya,EDDY-004,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Eddy continues his closing — frames self-pity as the central enemy for struggling men],"After all is said and done, self-pity is our number one enemy because it attracts to you helpless self-indulgence. And if that happens, focus on other things. Beware of excessive self-absorption and self-pity that robs us men the exercise of love, care, and many other things.","[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose"", ""relationships/love/loyalty""]",mental health/trauma/healing,negative,"[""frustration"", ""concern""]",vulnerability/healing,advice/prescription,1,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""self-pity"", ""self-indulgence"", ""love"", ""care""]","The content discusses the negative impact of self-pity on men's ability to express love and care, framing it as a barrier to personal growth and relationships."
content,Kenya,EDDY-005,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Final closing message — Eddy directly tells men to show up for their children regardless of internal struggle],"After all is said and done, get close to your children. You don't have to feel strong and courageous to do this. Children need their fathers regardless what dad is going through inside. One of the gifts I'd like to give to my children is to demonstrate to them that you can recover from failure and keep moving.","[""family/fatherhood/parenting"", ""male self-improvement/discipline/purpose"", ""mental health/trauma/healing""]",family/fatherhood/parenting,positive,"[""hope"", ""support""]",vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""children"", ""fathers"", ""failure"", ""recovery""]","The content emphasizes the importance of fathers being present for their children, highlighting vulnerability and recovery, which aligns with positive themes of family and mental health."
content,Kenya,EDDY-006,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Opening of his second Engage Kenya talk — Eddy challenges the idea that men must commit to one fixed identity],"What if the biggest lie you've ever known is this: that you're only allowed to be one thing in this life? That if life gives you a bad hand, you just sit down and you accept it. That if you lose your title, your shine, your people, you stay there, quiet and finished. I believed that for a while, and if you met me back then, you would've believed it too. Here's what life taught me to understand. I was never built for just one version of myself.","[""male self-improvement/discipline/purpose"", ""mental health/trauma/healing""]",male self-improvement/discipline/purpose,positive,"[""hopeful""]",vulnerability/healing,personal story,0,0,none,not present,"[""none/unclear""]","[""identity"", ""self"", ""life lessons""]","The content focuses on personal growth and the rejection of a singular identity, promoting a positive and hopeful message."
content,Kenya,EDDY-007,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Eddy describes the phone call that crushed him after a TV screen test in 2017],"A few days later, the feedback came. It was a phone call and the person on the other end said, 'Eddy, you're too old to be back on TV.' Now, that cracked something inside me. It felt like somebody just punched me right in the gut. A gut that was already bleeding internally, bleeding from disappointment, rejection, brokenness. The punch basically added acid to injury. And for a while, I believed it. I believed that maybe Eddy was finished. Maybe this was it.","[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose""]",mental health/trauma/healing,negative,"[""disappointment"", ""hurt"", ""brokenness""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""feedback"", ""rejection"", ""disappointment""]","The content focuses on personal trauma and emotional pain from rejection, highlighting vulnerability and mental health."
content,Kenya,EDDY-008,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Eddy describes how learning to make wire bonsai trees during his Mombasa rebuild became his therapy],"The trees never looked good like the pictures in my head, but they slowly became therapy for me. They did not care about my lost titles or my empty pockets. They did not judge me. They just stood there, stubborn, imperfect, just like me. Working that wire forced me to let go pride and ego. I had to trade applause for silence, for studio lights for dusty hands. I had to let go of the polished version of Eddy that I used to be. But in that shift, I found stillness, focus, and the quiet pride of creating something with my own hands.","[""mental health/trauma/healing"", ""male self-improvement/discipline/purpose"", ""relationships/love/loyalty""]",mental health/trauma/healing,positive,"[""pride"", ""acceptance"", ""calm""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""none/unclear""]","[""therapy"", ""pride"", ""ego"", ""creation""]","The content focuses on personal healing and self-improvement through creative expression, reflecting a positive emotional journey."
content,Kenya,EDDY-009,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Eddy's closing rallying point in the Mombasa rebuild story],"So here's my truth: stay down if you have to, but do not unpack. When your life drops you, lie there if you have to, but when you stand up, stand up different, stand up weird.","[""male self-improvement/discipline/purpose"", ""mental health/trauma/healing""]",male self-improvement/discipline/purpose,positive,"[""hopeful""]",vulnerability/healing,personal story,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""truth"", ""stand up"", ""different"", ""weird""]","The content emphasizes personal growth and resilience after hardship, aligning with themes of self-improvement and mental health."
content,Kenya,EDDY-010,Eddy Kimani,Eddy Kimani,progressive / vulnerability-forward,YouTube (Engage Kenya talk),,Stage Talk / Testimony,[Eddy's closing call to men about how to show up for each other],"Being limitless is not just about ourselves, by the way. It's also how we show up for each other. Sometimes it's not about the big gestures, you know? But the small things: answering a call, giving a clear update, keeping your word. If somebody reaches out, pick up that call. If you're busy, let them know you'll call back and follow through. You might be their last bit of hope that day. Often they don't need solutions, just somebody who will listen without judgment.","[""relationships/love/loyalty"", ""mental health/trauma/healing"", ""equality/reciprocity/mutual respect""]",relationships/love/loyalty,positive,"[""hope"", ""support""]",vulnerability/healing,advice/prescription,0,0,none,not present,"[""care/harm"", ""loyalty/betrayal""]","[""limitless"", ""show up"", ""small things"", ""listen"", ""hope""]","The content emphasizes the importance of supporting each other in small ways, highlighting mental health and mutual respect."
