Codebook question,Question ID,Type,Agreement metric,Score,Interpretation,Percent / exact agreement,Krippendorff's alpha,Jaccard,Valid rows,Column
Q1. Does the content start with an attention-getter?,Q1,Single-answer,Krippendorff's alpha,1.000000,Strong agreement,1.000000,1.000000,,200,"Q1. Does the content start with an attention-getter? Options: Yes No Attention-getter could be verbal or visual, such as video titles and/or captions. These visual attention-getters may include statements in all caps, statements with excessive exclamation points [list some examples, potentially include screenshot examples. Not needed if we decide to focus on verbal attention-getters only]"
"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Q1A,Multi-select,Jaccard,0.464120,Weak agreement,0.402778,,0.464120,72,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply. Options: Compelling question / Use of all CAPS / Humor or sarcasm / Shares something violent or gross / Shares something sexual / Shares something surprising / Uses a news headline or social media trend as opener / Interesting visual or meme / Other"
Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Q2,Multi-select,Jaccard,0.323333,Weak agreement,0.200000,,0.323333,200,"Q2. What is/are the primary topic(s) of the content? Choose all that apply. Options: Dating/marriage / Friends/socializing / Family/children / Money/status / Fitness/self-improvement / Mental health / Gender issues, e.g. equality / Social issues, e.g. corruption / Religion/morality / Gaming/technology / Other"
Q3. Characterize the type of content.,Q3,Single-answer,Krippendorff's alpha,0.499128,Weak agreement,0.636364,0.499128,,198,Q3. Characterize the type of content. Options: Interview/conversational content / Motivational/self-help content / Commentary/reaction content / Other
Q4. Does this content address masculinity / gender norms?,Q4,Single-answer,Krippendorff's alpha,0.991673,Strong agreement,0.995000,0.991673,,200,"Q4. Does this content address masculinity / gender norms? Options: Yes, explicitly / Yes, implicitly / No"
"Q5. If yes, how would you characterize the type of masculinity or gender norms addressed?",Q5,Single-answer,Krippendorff's alpha,-0.095167,Weak agreement,0.130719,-0.095167,,153,"Q5. If yes, how would you characterize the type of masculinity or gender norms addressed? Options: More regressive/traditional/restrictive / More progressive/equitable/expansive / Mixed/unclear / Does not address masculinity or gender norms"
"Q6. If yes, does the content address what men should do or be in society?",Q6,Single-answer,Krippendorff's alpha,0.896746,Strong agreement,0.947712,0.896746,,153,"Q6. If yes, does the content address what men should do or be in society? Options: Yes / No / Unclear / Not applicable"
"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Q7,Multi-select,Jaccard,0.226994,Weak agreement,0.153374,,0.226994,163,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply. Options: Men need to dominate/lead / Men need to provide/succeed / Men are disadvantaged/victims / Men need to improve themselves / Men need to be fully self-reliant / Men need to be emotionally open / Men need to not show emotions / Men need to be equal partners / Mixed/unclear / Other / Not applicable"
Q8. What problem is being identified in the content? Choose all that apply.,Q8,Multi-select,Jaccard,0.233333,Weak agreement,0.190000,,0.233333,200,Q8. What problem is being identified in the content? Choose all that apply. Options: Kenyan or Nigerian political/social problems / Global political/social/cultural problems / Western political/social influence / Women/feminism / Men’s behavior / Economic/status pressure / Mental health/emotional struggle / No clear problem is identified / Other
Q9. What solution is being proposed? Choose all that apply.,Q9,Multi-select,Jaccard,0.596667,Moderate / needs caution,0.535000,,0.596667,200,Q9. What solution is being proposed? Choose all that apply. Options: Social or political change / Assert dominance/control / More wealth/status / More self-discipline/fitness / More emotional growth/healing / More equality/respect for men / More equality/respect for women / Building community / No clear solution / Other
