author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,comment_text,comment_text_norm,keep,keep_reason
@victorkihika6408,I am so glad I watched this.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,I am so glad I watched this.,I am so glad I watched this.,True,content_reaction
@FloraHerena,Your uncle was a police man and he watched you being abused the way you did ? That’s sick,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Your uncle was a police man and he watched you being abused the way you did ? That’s sick,Your uncle was a police man and he watched you being abused the way you did ? That's sick,True,piece_relevant
@gracemfune9118,Man this story just stired some emotions in me.i feel like you just told my whole story.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Man this story just stired some emotions in me.i feel like you just told my whole story.,Man this story just stired some emotions in me.i feel like you just told my whole story.,True,content_reaction
@philliipahkoka2774,"I know Erick so well,after the burn he was brought  to my house and he lived with us for 1 year.This is a real life experience.",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,"I know Erick so well,after the burn he was brought  to my house and he lived with us for 1 year.This is a real life experience.","I know Erick so well,after the burn he was brought to my house and he lived with us for 1 year.This is a real life experience.",True,creator_reaction
@derrickmlami8204,Join Kibe Space everyday from Monday to Friday all these are discussed on this space.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Join Kibe Space everyday from Monday to Friday all these are discussed on this space.,Join Kibe Space everyday from Monday to Friday all these are discussed on this space.,True,content_reaction
@queeniduaye726,You are amazing! Good to hear from a man 👨,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,You are amazing! Good to hear from a man 👨,You are amazing! Good to hear from a man 👨,True,scope_relevant
@cynogoro,This is a refreshing interview. Happy to see men stepping out of toxic societal norms and becoming emotionally healthy 👏🏾,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,This is a refreshing interview. Happy to see men stepping out of toxic societal norms and becoming emotionally healthy 👏🏾,This is a refreshing interview. Happy to see men stepping out of toxic societal norms and becoming emotionally healthy 👏🏾,True,piece_relevant
@dikoliza5847,Your father was evil...he was possessed by his own demons,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Your father was evil...he was possessed by his own demons,Your father was evil...he was possessed by his own demons,True,piece_relevant
@alessandravannuccini2275,"A lesson of love ❤
Thank you Mr. Otieno!",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,"A lesson of love ❤
Thank you Mr. Otieno!",A lesson of love ❤ Thank you Mr. Otieno!,True,content_reaction
@ln2542,WOW!!!! You are a pearl and a genius ! May God guide you to greater heights. You have learnt a lot and have been really inspirational. May He heal you from your past wounds. Let your light shine! You are talented and have a lot to offer! Thank you for sharing!,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,WOW!!!! You are a pearl and a genius ! May God guide you to greater heights. You have learnt a lot and have been really inspirational. May He heal you from your past wounds. Let your light shine! You are talented and have a lot to offer! Thank you for sharing!,WOW!!!! You are a pearl and a genius ! May God guide you to greater heights. You have learnt a lot and have been really inspirational. May He heal you from your past wounds. Let your light shine! You are talented and have a lot to offer! Thank you for sharing!,True,piece_relevant
@wisdomlife,"This is a great story, what we do to our children shapes their future indeed...",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,"This is a great story, what we do to our children shapes their future indeed...","This is a great story, what we do to our children shapes their future indeed...",True,content_reaction
@Wanjamburu.23,"So so sad that a whole grown man unleashes his idiocy on a wife and kids
 Am disappointed! Thank you for sharing about effects of childhood traumas. Your dad is a perfect example of a Narcissist and thanks for learning to handle your situation.",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,"So so sad that a whole grown man unleashes his idiocy on a wife and kids
 Am disappointed! Thank you for sharing about effects of childhood traumas. Your dad is a perfect example of a Narcissist and thanks for learning to handle your situation.",So so sad that a whole grown man unleashes his idiocy on a wife and kids Am disappointed! Thank you for sharing about effects of childhood traumas. Your dad is a perfect example of a Narcissist and thanks for learning to handle your situation.,True,piece_relevant
@seanodhiambo4615,"Thanks for sharing my husband was abusive but later on I tried to check on his background I found out that was what his  father used to to be violent and abusive. The pattern was repeating itself
For real men are struggling from their past and they can't find way out of the situation though the solution is reprograme our mind so that we can be free from the trauma",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,2,"Thanks for sharing my husband was abusive but later on I tried to check on his background I found out that was what his  father used to to be violent and abusive. The pattern was repeating itself
For real men are struggling from their past and they can't find way out of the situation though the solution is reprograme our mind so that we can be free from the trauma",Thanks for sharing my husband was abusive but later on I tried to check on his background I found out that was what his father used to to be violent and abusive. The pattern was repeating itself For real men are struggling from their past and they can't find way out of the situation though the solution is reprograme our mind so that we can be free from the trauma,True,piece_relevant
@Unseen_abilities,You have put it so well. We need to feel safe around people so that we don’t continue to replicate the pains we hold on other people. That’s the only way to stop the vicious cycle. Thank you,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,You have put it so well. We need to feel safe around people so that we don’t continue to replicate the pains we hold on other people. That’s the only way to stop the vicious cycle. Thank you,You have put it so well. We need to feel safe around people so that we don't continue to replicate the pains we hold on other people. That's the only way to stop the vicious cycle. Thank you,True,content_reaction
@risperkariuki1459,To imagine that there were grown ups  in this house who could no protect this child from an irrational psycopath parent. Including the Mom... So heart rending.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,To imagine that there were grown ups  in this house who could no protect this child from an irrational psycopath parent. Including the Mom... So heart rending.,To imagine that there were grown ups in this house who could no protect this child from an irrational psycopath parent. Including the Mom... So heart rending.,True,content_reaction
@carrenwangari2470,I feel like this is what exactly was happening to my brother according to behavior resembles,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,I feel like this is what exactly was happening to my brother according to behavior resembles,I feel like this is what exactly was happening to my brother according to behavior resembles,True,content_reaction
@cathywaero6144,"Wow👏👏👏
This is eye opening. Thanks for sharing!",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,"Wow👏👏👏
This is eye opening. Thanks for sharing!",Wow👏👏👏 This is eye opening. Thanks for sharing!,True,content_reaction
@CarolyneEnane,Thank you,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,2,Thank you,Thank you,True,content_reaction
