id,images,text,likes,replies,retweets,quotes,timestamp,url,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
1406495128777379840,,This reminds me of Peggy hill sex Ed class,48,0,0,0,2021-06-20T06:12:00.000Z,https://x.com/DrVirgo1981/status/1406495128777379840,Full Tweet Stay away from vulgar women.xlsx,text,This reminds me of Peggy hill sex Ed class,this reminds me of peggy hill sex ed class,v2,9,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
1407378165387890702,,Hawa wazungu wanakuanga to maunbwakni,1,0,0,0,2021-06-22T16:41:00.000Z,https://x.com/brian_gathua/status/1407378165387890702,Full Tweet Stay away from vulgar women.xlsx,text,Hawa wazungu wanakuanga to maunbwakni,hawa wazungu wanakuanga to maunbwakni,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
1407242577225654274,,Hii ni Vita ya verified accounts,19,0,1,0,2021-06-22T07:42:00.000Z,https://x.com/KibunjaMichael/status/1407242577225654274,Full Tweet Stay away from vulgar women.xlsx,text,Hii ni Vita ya verified accounts,hii ni vita ya verified accounts,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
1407354621979418633,,Facts are stubbon never mind,1,1,0,0,2021-06-22T15:07:00.000Z,https://x.com/its_wambugu/status/1407354621979418633,Full Tweet Stay away from vulgar women.xlsx,text,Facts are stubbon never mind,facts are stubbon never mind,v2,5,False,True,True,False,False,False,False,True,False,True,substantive_v2_signal
1407247125214289924,,"What he meant was use it when necessary
I wonder how you got a PhD SIMP",1,0,0,0,2021-06-22T08:00:00.000Z,https://x.com/USDchaser/status/1407247125214289924,Full Tweet Stay away from vulgar women.xlsx,text,"What he meant was use it when necessary
I wonder how you got a PhD SIMP",what he meant was use it when necessary i wonder how you got a phd simp,v2,16,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
1407295185839603716,,Apparently he has four wives so that ship has sailed sad,5,0,0,0,2021-06-22T11:11:00.000Z,https://x.com/0xDaoVortex/status/1407295185839603716,Full Tweet Stay away from vulgar women.xlsx,text,Apparently he has four wives so that ship has sailed sad,apparently he has four wives so that ship has sailed sad,v2,11,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
1407392638001725444,,You are one of the woman James,2,0,0,0,2021-06-22T17:38:00.000Z,https://x.com/Halkesh11/status/1407392638001725444,Full Tweet Stay away from vulgar women.xlsx,text,You are one of the woman James,you are one of the woman james,v2,7,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
1407407577856679948,,Iam sure you will be his 5th,1,0,0,0,2021-06-22T18:38:00.000Z,https://x.com/_mwakisha/status/1407407577856679948,Full Tweet Stay away from vulgar women.xlsx,text,Iam sure you will be his 5th,iam sure you will be his 5th,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
1407300021251358728,,You must be a woman,0,0,0,0,2021-06-22T11:30:00.000Z,https://x.com/Ankol_/status/1407300021251358728,Full Tweet Stay away from vulgar women.xlsx,text,You must be a woman,you must be a woman,v2,5,True,False,False,False,False,False,True,False,False,True,substantive_v2_signal
1406709201645314048,,Eric is afraid of Vaginas,10,0,0,0,2021-06-20T20:23:00.000Z,https://x.com/FlossingSea/status/1406709201645314048,Full Tweet Stay away from vulgar women.xlsx,text,Eric is afraid of Vaginas,eric is afraid of vaginas,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
1929844496881045942,,Kwani dick sio kulima ya wakalee,0,0,0,0,2025-06-03T10:15:00.000Z,https://x.com/KipropLucky/status/1929844496881045942,Full Tweet Stay away from vulgar women.xlsx,text,Kwani dick sio kulima ya wakalee,kwani dick sio kulima ya wakalee,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
1407157294111105028,,Lol why you being vulgar by saying the f word,0,1,0,0,2021-06-22T02:03:00.000Z,https://x.com/Her_Fave_Ting/status/1407157294111105028,Full Tweet Stay away from vulgar women.xlsx,text,Lol why you being vulgar by saying the f word,lol why you being vulgar by saying the f word,v2,10,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
1406808619681783810,,you sir have won the internet,1,0,0,0,2021-06-21T02:58:00.000Z,https://x.com/ThePunkcyborg/status/1406808619681783810,Full Tweet Stay away from vulgar women.xlsx,text,you sir have won the internet,you sir have won the internet,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
1406998159612600322,,"Women

Save your vaginas to fuck worthwhile people

not dicks like Eric

FOCUS ON YOUR LIFE",10,0,0,0,2021-06-21T15:31:00.000Z,https://x.com/KathyHulme/status/1406998159612600322,Full Tweet Stay away from vulgar women.xlsx,text,"Women

Save your vaginas to fuck worthwhile people

not dicks like Eric

FOCUS ON YOUR LIFE",women save your vaginas to fuck worthwhile people not dicks like eric focus on your life,v2,16,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
