text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
sherehe tuliachia madem na wababaz wao,612,17.0,2025-11-11T18:58:40.000Z,whois_pauloh,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7109037320243201030,7571544191416091410,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/392d1256d93dd969a76d010019e1cf88~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=865fc889&x-expires=1775620800&x-signature=LL5AKtvnz0DGiLOsTmC0qTSV5IA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,sherehe tuliachia madem na wababaz wao,sherehe tuliachia madem na wababaz wao,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
Is it me alone uchukia nduru za club na high volume music,33,9.0,2025-11-11T18:26:41.000Z,38074973frenzy,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7046322103147480069,7571535148401132344,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ef2e531fa502fc1153e9657c6fea6282~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=75514b18&x-expires=1775620800&x-signature=v%2BO%2FI6%2ByZ3jBEJnGqBzHCieJU0s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,Is it me alone uchukia nduru za club na high volume music,is it me alone uchukia nduru za club na high volume music,v2,12,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
We are refraining from unappreciated efforts,21,0.0,2025-11-11T17:45:01.000Z,kingdommessenger3,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6893940518594593794,7571525231127708472,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/eb6b2ce32489cb7d1e917d52d262cb5d~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8e7bb232&x-expires=1775620800&x-signature=CiABRe586hx02k8zU7oEkm45H48%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,We are refraining from unappreciated efforts,we are refraining from unappreciated efforts,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
wewe wanaume wamesota io ndio baseline,113,11.0,2025-11-11T14:31:18.000Z,its_ndg_,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7424553008929293318,7571475318804939540,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/10a95f6bf4f7478cb2b6e509e5a556bf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=54fd5fcc&x-expires=1775620800&x-signature=YQPa4XaYHY%2B8sXHct2BsXP%2BiAkA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,wewe wanaume wamesota io ndio baseline,wewe wanaume wamesota io ndio baseline,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
any real man here show love,7,0.0,2025-11-12T00:08:47.000Z,infitect7991631440700,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7089433450386326533,7571624068816077624,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/b22534c3811d5fe8e33113c42b57d3e0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dfaab6c1&x-expires=1775620800&x-signature=jMikxF48qpuUycxCo7sq%2FJ98Tbo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,any real man here show love,any real man here show love,v2,6,True,False,False,False,False,False,False,False,False,True,substantive_v2_signal
20k those are 500 Safaricom dividend shares,407,26.0,2025-11-11T15:10:52.000Z,mwandokamau,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6888202109537027074,7571485487908750092,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/bedd489c0c6b3c2ce0873c83e55b38e1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5b62a75d&x-expires=1775620800&x-signature=i7rUhMEZ8yA8dOmB9TwBmAqHZ9A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,20k those are 500 Safaricom dividend shares,20k those are 500 safaricom dividend shares,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
we are seriously minding our own business,4,0.0,2025-11-12T06:12:31.000Z,mkulimamdogo,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6900346424300815366,7571717779453428492,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/c8d88d7ec63f572c0133e4b7cd07be99~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2ed066a7&x-expires=1775620800&x-signature=U1%2B5lWFwRwIEhCP1lVeluMJ4GBY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,we are seriously minding our own business,we are seriously minding our own business,v2,7,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
We trying to avoid the noise,0,0.0,2025-11-13T19:39:14.000Z,user1927496107104,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7361905237954036742,7572296319868748556,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/3c656a4477d03e078821eacb1379b6a2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=fed4ebb0&x-expires=1775620800&x-signature=mhRwBUVfOtoBpPwMaNF2EtU8tRM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,We trying to avoid the noise,we trying to avoid the noise,v2,6,False,False,True,False,False,False,True,False,False,True,substantive_v2_signal
Men are in the park n chills socializing and making connections,5,1.0,2025-11-11T18:41:38.000Z,koomemutea,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6816700765063955462,7571539828953629452,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-avt-0068/7322756117087551493~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=4be3d0bc&x-expires=1775620800&x-signature=XeAw7Pq2d6hK%2FDmk8epU5GufAX8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,Men are in the park n chills socializing and making connections,men are in the park n chills socializing and making connections,v2,11,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
Only a real man can deeply understand this,62,2.0,2025-11-11T19:41:51.000Z,wilsonmwangi683,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7049668667520746502,7571555339645141816,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-avt-0068/3ac249277f205f4ebe6bd4c89c526b28~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=89cbb765&x-expires=1775620800&x-signature=AJgQO8O1HEqoUhfN1dEwsVxbPuA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,Only a real man can deeply understand this,only a real man can deeply understand this,v2,8,True,False,True,False,False,False,False,False,False,True,substantive_v2_len
was looking for this comment,1,,2025-11-11T20:39:42.000Z,sivicsix.sp,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7183990994308154373,7571569708563333944,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/58674d8cf5594bdb3b7a8d6fd02d2a55~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d8551018&x-expires=1775620800&x-signature=cWq7FN3pxspaWWC9cP8d72kYVkE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,was looking for this comment,was looking for this comment,v2,5,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
bwana unaenda sherehe Na dem yye ashaanza kuangalia mubaba Hadi Ur wondering,0,,2025-11-11T21:13:43.000Z,stanlymark,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7388196545030800390,7571579007956091659,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/91befbbd312062bbb10dfe034fa68dd3~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=935a7e2f&x-expires=1775620800&x-signature=VIWVest%2FK4VQmQjx4uQQoaitQAI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,bwana unaenda sherehe Na dem yye ashaanza kuangalia mubaba Hadi Ur wondering,bwana unaenda sherehe na dem yye ashaanza kuangalia mubaba hadi ur wondering,v2,12,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
also we dont have money to give out like leaves,23,,2025-11-11T20:38:01.000Z,the_fancyy,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6823046119128990726,7571569798393332536,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/7332057145078841349~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=7039491d&x-expires=1775620800&x-signature=T%2Be4Hom8n%2B3tmri%2FAvjFKthBjhI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,also we dont have money to give out like leaves,also we dont have money to give out like leaves,v2,10,False,False,True,False,False,False,True,False,False,True,substantive_v2_len
ata wewe hauna ndio maana uko kila mahali,8,,2025-11-12T03:40:42.000Z,princengowa10,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7092750659012101125,7571678619091108664,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/4a896d497573bab8c511394b4c733b59~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5a4083c3&x-expires=1775620800&x-signature=%2BLDhLlxAIexLYcqkKVbxYtalv14%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,ata wewe hauna ndio maana uko kila mahali,ata wewe hauna ndio maana uko kila mahali,v2,8,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
yooo we are learned and working and independent women,0,,2025-11-12T07:16:41.000Z,nyagamel5gmail.com,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7162809067282859013,7571734340314235660,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/17930ebfeafad6e4b919ee6b8ad50b30~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5ec6a1b5&x-expires=1775620800&x-signature=fR6wH6Y4gjaYiOE%2FVcUMInwW4Zo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Men Are Not Missing. They Are Evolving!.csv.xlsx,text,yooo we are learned and working and independent women,yooo we are learned and working and independent women,v2,9,True,False,True,True,False,False,False,False,False,True,substantive_v2_len
