Question ID,Question,Type,Options scored,Valid rows per option,Excluded flagged rows,Mean binary percent agreement,Mean binary Krippendorff alpha
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_binary_options,9,200,0,0.952222,0.289193
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_binary_options,11,197,3,0.885095,0.363096
Q3,Q3. Characterize the type of content.,multi_binary_options,4,142,58,0.741197,0.245569
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",multi_binary_options,11,200,0,0.895000,0.251113
Q8,Q8. What problem is being identified in the content? Choose all that apply.,multi_binary_options,9,184,16,0.849638,0.252266
Q9,Q9. What solution is being proposed? Choose all that apply.,multi_binary_options,10,200,0,0.878000,0.329192
Q10,Q10. How would you characterize the communication mode of this content? Choose all that apply.,multi_binary_options,8,200,0,0.878125,0.205964
Q11,Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,multi_binary_options,7,200,0,0.760714,-0.074972
Q12,Q12. How does the content support its claims or messages?,multi_binary_options,9,200,0,0.899444,0.280242
Q13,Q13. How are the claims justified?,multi_binary_options,7,200,0,0.869286,0.246495
Q18A,"Q18a. If yes, what kinds of calls to action are included? Choose all that apply.",multi_binary_options,10,199,1,0.948744,0.453035
