"DIRECTIONS: Read each comment and question in full. For ""Select ALL that apply"" questions, copy and paste each applicable answer option, separated by commas, into your answer box. For ""Open text"" questions, please add 1 sentence or a couple of words as your answer. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content ID,Context,Content Text / Description,"Q1. Does the content start with an attention-getter? 
Options:
Yes
No

 Attention-getter could be verbal or visual, such as video titles and/or captions. These visual attention-getters may include statements in all caps, statements with excessive exclamation points [list some examples, potentially include screenshot examples. Not needed if we decide to focus on verbal attention-getters only] ","Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.

Options: 
Compelling question / 
Use of all CAPS / 
Humor or sarcasm / 
Shares something violent or gross / 
Shares something sexual / 
Shares something surprising / 
Uses a news headline or social media trend as opener / 
Interesting visual or meme / 
Other","Q1b. If other, specify the attention-getting strategy.
Open text","Q2. What is/are the primary topic(s) of the content? Choose all that apply.

Options: 
Dating/marriage / 
Friends/socializing / 
Family/children / 
Money/status / 
Fitness/self-improvement / 
Mental health / 
Gender issues, e.g. equality / 
Social issues, e.g. corruption / 
Religion/morality / 
Gaming/technology / 
Other","Q2a. If other, specify the topic.
Open text","Q3. Characterize the type of content.

Options: Interview/conversational content / 
Motivational/self-help content / 
Commentary/reaction content / Other","Q3a. If other, specify the content type.
Open text","Q4. Does this content address masculinity / gender norms?

Options: 
Yes, explicitly / 
Yes, implicitly / 
No","Q5. If yes, how would you characterize the type of masculinity or gender norms addressed?

Options: 
More regressive/traditional/restrictive / 
More progressive/equitable/expansive / 
Mixed/unclear / 
Does not address masculinity or gender norms","Q6. If yes, does the content address what men should do or be in society?

Options: 
Yes / 
No / 
Unclear / 
Not applicable","Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.

Options: 
Men need to dominate/lead / 
Men need to provide/succeed / 
Men are disadvantaged/victims / 
Men need to improve themselves / 
Men need to be fully self-reliant / 
Men need to be emotionally open / 
Men need to not show emotions / 
Men need to be equal partners / Mixed/unclear / 
Other / 
Not applicable","Q7a. If other, specify what the content indicates men need to do.
Open text","Q8. What problem is being identified in the content? Choose all that apply.

Options: 
Kenyan or Nigerian political/social problems / Global political/social/cultural problems  /  
Western political/social influence / 
Women/feminism / 
Men’s behavior / 
Economic/status pressure / 
Mental health/emotional struggle / 
No clear problem is identified / 
Other","Q8a. If other, specify the problem.
Open text","Q9. What solution is being proposed? Choose all that apply.

Options: 
Social or political change / 
Assert dominance/control / 
More wealth/status / 
More self-discipline/fitness / 
More emotional growth/healing / 
More equality/respect for men / 
More equality/respect for women / 
Building community / 
No clear solution / 
Other","Q9a. If other, specify the solution.
Open text","Q10. How would you characterize the communication mode of this content? Choose all that apply.

Options: 
Advice/instruction / 
Personal story / 
Commentary/opinion / Debate/argument / 
Humor/satire / 
Motivational speech / 
News/telling facts / 
Other","Q10a. If other, specify the communication mode.
Open text","Q11. Which audience needs does the content aim to fulfill? Choose all that apply.

Options: 
Entertainment/escapism / Information seeking / 
Connection/social interaction / 
Self expression/identity construction / 
Status seeking / 
Documentation of events / 
None of these apply","Q12. How does the content support its claims or messages?

Options: 
Generalizations about men/women / 
Personal experience / 
Stories about men/women / 
Cultural/social observations / 
Facts/statistics / 
Moral/religious claims / 
Mixed / 
No support / 
Other","Q12a. If other, specify how the content supports its claims.
Open text","Q13. How are the claims justified?

Options: No justification / 
Anecdotal examples / 
Presented as common sense / 
References data / 
References religion/tradition / 
References external sources, such as other influencers / 
Other","Q13a. If other, specify how the claims are justified.
Open text","Q14. What is the general sentiment toward men?

Options: 
Negative / 
Positive / 
Mixed / 
Neutral / 
Unclear / 
Not mentioned
","Q15. What is the general sentiment toward women?

Options: 
Negative / 
Positive / 
Mixed / 
Neutral / 
Unclear / 
Not mentioned","Q16. What is the general sentiment toward traditional gender norms?

Options: 
Negative / 
Positive / 
Mixed / 
Neutral / 
Unclear / 
Not mentioned","Q17. Does the content use fear or threat to help drive the message home?

Options: Yes /
Somewhat / 
No","Q18. Does the content include any calls to action to the audience?

Options:
 Yes / 
No","Q18a. If yes, what kinds of calls to action are included? Choose all that apply.

Options: 
Calls for audience to like the content / 
Calls for audience to share the content / Calls for audience to follow the speaker on social media / 
Calls for men to follow more traditional gender norms / 
Calls for men to follow more equitable gender norms / 
Calls for women to follow more traditional gender norms / 
Calls for women to follow more equitable gender norms / 
Calls for politicians or social figures to do something / 
Calls for audience to vote in a different way / 
Other","Q18b. If other, specify the call to action.
Open text"
EDDY-002,Eddy explains how taking the Nakuru county communications job led to long-distance marriage and financial strain,"Now, I had to supplement my salary, which had dipped after taking the county job. And like many other men would have done, I ventured into business. I ended up committing my full salary to service this loans, but the hole got even deeper. Everything I had planned to do at that time collapsed face-flat. So one thing led to another, I betrayed my marriage. I separated from my wife due to infidelity. Missed my children, and this killed me every single day and night. And I'm still trying to make up for that.",No,,,Dating/marriage,,Interview/conversational content,,"Yes, implicitly",Mixed/unclear,No,,,Mental health/emotional struggle,,No clear solution,,Personal story,,Self expression/identity construction,Personal experience,,Anecdotal examples,,Unclear,Unclear,Unclear,No,No,,
EDDY-003,Eddy's closing message to men in the Engage Kenya audience,"Because at the end of it all, when all is said and done, we must recognize that being perfect is a fairy tale. Failure, scarcity, and shortcomings are all part of being a man, a father, a husband. Openness, honesty, communication are key to your relationship with your partners, but sometimes, it can be difficult.",No,,,Dating/marriage,,Commentary/reaction content,,"Yes, explicitly",More progressive / equitable / expansive,Yes,Men need to be emotionally open,,Economic/status pressure,,More emotional growth/healing,,Advice/instruction,,Information seeking,Generalizations about men/women,,Presented as common sense,,Positive,Not mentioned,Unclear,No,Yes,Calls for men to follow more equitable gender norms,
EDDY-011,Eddy reflects on his own conduct during the period of marriage breakdown,I had done them either out of ignorance um of course ego was part of it. Again making wrong decisions was like any other man would do you make wrong decisions from time to time in life. But I didn't have the tools to to deal with all that. I did not even know there were tools to deal with that to mend that. So I just wallowed in my space that I got into.,No,,,Dating/marriage,,Interview/conversational content,,"Yes, implicitly",Mixed/unclear,No,,,Men’s behavior,,No clear solution,,Personal story,,Self expression/identity construction,Personal experience,,Anecdotal examples,,Neutral,Not mentioned,Unclear,No,No,,
EDDY-025,Eddy describes what stood out from his Engage talk,"Admitting that I failed. Accepting that I made many mistakes. Accepting and revealing that I failed my marriage. Admitting that I made wrong decisions about business. Admitting that I failed personally as a man, as a father. And I think also being an actor helped because you end up wearing masks, which is something that a lot of men are grappling with. The society is harsh on men. It's very, very harsh on men right now.",No,,,Dating/marriage,,Interview/conversational content,,"Yes, explicitly",More progressive / equitable / expansive,No,,,No clear problem is identified,,No clear solution,,Personal story,,Self expression/identity construction,Personal experience,,Anecdotal examples,,Positive,Not mentioned,Negative,No,No,,
EDDY-029,Eddy describes the wave of women asking him to help their depressed husbands - and his caution,"I'm getting also feedback from ladies asking me to help their husbands because they feel the husband does not want to be helped. Now that one you have to be careful because again I can't start engaging somebody who may not want or is not ready to be helped. He may ask, why are you talking to my wife, what business do you have with her?",No,,,Dating/marriage; Money/status,,Interview/conversational content,,"Yes, implicitly",Mixed/unclear,No,,,Men’s behavior,,More emotional growth/healing,,Personal story,,Self expression/identity construction,Personal experience,,Anecdotal examples,,Mixed,Positive,Unclear,No,No,,
RIX-017,Onyango explains why poverty-trauma stays with men into adulthood,Mick was talking about reparenting myself and I think I need to reparent myself again about poverty because if you grow up without anything. If you are if you a friend of the bottle then whatever you do in life whether you are whatever maybe if you're a billionaire or a millionaire but yes you just remain as a family no nothing so you just grow up in lack everyday lack everyday lack everyday lack you come to the city. And I think if you get into your adulthood without luck it destroys you because you have embodied it you know it's in your body now you actually believe this is your identity. Sometimes even you can get a lot of money and it's sits in the bank and you're afraid of using it. Or you squander it because you don't believe you you you're supposed to have money.,No,,,Family/children,,Interview/conversational content,,No,,,,,Economic/status pressure,,No clear solution,,Advice/instruction,,Information seeking,No support,,No justification,,Unclear,Not mentioned,Not mentioned,No,No,,
RIX-070,Onyango uses geography as a metaphor for why men die younger,"It's not a mistake that women generally live longer than men. It's not a mistake. Outside how physically testing men's lives have been, it's also because we keep all that pain inside. It's not healthy. For example, even geography, why is a salty water lake salty? Because it only has an inlet, it doesn't have an outlet. A fresh water lake is fresh because it has both inlets and outlets. Your heart has veins that pump blood in and pump blood out. If it was only inlet, we wouldn't even survive. Our brains need air. People faint because air oxygen is out from the brain. You collapse. So essentially, space is basic to everything.",No,,,Mental health,,Interview/conversational content,,"Yes, explicitly",More progressive / equitable / expansive,Yes,Men need to be emotionally open,,Mental health/emotional struggle,,No clear solution,,Commentary/opinion,,Information seeking,Generalizations about men/women,,Presented as common sense,,Mixed,Positive,Negative,Somewhat,Yes,Calls for men to follow more equitable gender norms,
RIX-080,Onyango describes the limited emotional palette men are granted,"He only expresses himself when he's extremely happy or extremely sad. When he's extremely sad, he's angry, he's violent. And he's extremely happy, he's with women and alcohol and doing all kinds of nasty stuff. So, in the subconscious of a young boy, you're living in the negative energy because you do not have communities of healthy men around you. They're not there.",No,,,Mental health,,Interview/conversational content,,"Yes, explicitly",More progressive / equitable / expansive,No,,,No clear problem is identified,,No clear solution,,Advice/instruction,,Information seeking,No support,,No justification,,Negative,Not mentioned,Negative,No,No,,
RIX-083,Onyango pushes back on the trend of demanding men cry as proof of vulnerability,"Now even the thing about crying. There are some quarters where men have been made to feel like if you don't cry, you're not doing it enough. You're not being vulnerable enough. People have different ways of expressing pain. As long as they know, they have that space to express pain in whatever manner is comfortable to them, that is what vulnerability is. And we cannot be vulnerable according to social standards if we have not learned how to be vulnerable to our own selves.",No,,,Mental health,,Interview/conversational content,,"Yes, explicitly",More regressive / traditional / restrictive,Yes,Men need to be emotionally open,,Mental health/emotional struggle,,More emotional growth/healing,,Advice/instruction,,Information seeking,Generalizations about men/women,,Presented as common sense,,Positive,Not mentioned,Unclear,No,No,,
RIX-086,Onyango describes some of the messages he receives from men,"I have like 19-year-olds reaching out to me saying, you know, I'm struggling with masturbation, I'm struggling with sex addiction, I'm struggling with substance abuse. I was raped when I was 19, I was raped when I was this. There's a story of a guy who reached out to me and he told me that he was sodomized by friends, people he knew. They sodomized him, robbed him, and he got so mad, so angry. He hired goons to go kill them. And he told me, he's sure they can't do such a thing to another person because they are rotting in their graves. Boys who are abused when they were kids. They're stuck. Pastors reach out to me. They stand on pulpits, my brother, but they're in so much pain.",No,,,Dating/marriage,,Interview/conversational content,,No,,,,,Mental health/emotional struggle,,No clear solution,,Personal story,,Self expression/identity construction,Facts/statistics,,References data,,Unclear,Not mentioned,Not mentioned,No,No,,
