text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
I thought u were American until I had Swahili,42,6.0,2025-07-21T11:19:48.000Z,starrayce,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7056056158163190789,7529493291202790200,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/9720c12e416b39e8f8bc6367efa72710~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c4667f1d&x-expires=1775613600&x-signature=IjJKHCbAWijzXQPQn%2BI%2FFUCA34g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,I thought u were American until I had Swahili,i thought u were american until i had swahili,v2,9,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
at least niko na driving licence,53,6.0,2025-07-21T05:54:23.000Z,tirus333,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7048371999399560197,7529409380934402822,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/3847a9fe157d1f270709327d492d178f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=26e2462e&x-expires=1775613600&x-signature=w7EJDZs%2ByGk78D7d%2BUs3WSuUh6k%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,at least niko na driving licence,at least niko na driving licence,v2,6,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
Mi niko almost 40 sina gari but pia niko mzima sijawai ona ceiling ya hosipitali,29,0.0,2025-07-21T16:32:20.000Z,maikolrising,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6826318524015100933,7529572447974114104,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/5b2b4490f5701280b97d33c435a0fba2~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=247a98ec&x-expires=1775613600&x-signature=guo1jn4TiJ7fSmewSFb7EWfXFlM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Mi niko almost 40 sina gari but pia niko mzima sijawai ona ceiling ya hosipitali,mi niko almost 40 sina gari but pia niko mzima sijawai ona ceiling ya hosipitali,v2,15,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
at boyfriend hauna wakukununulia the world,3,,2025-07-21T06:36:16.000Z,peoplepresident0,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6855365589642707973,7529420217236734726,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/73ea6056f169987d1b09f3e7da6f1151~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=8f559f0b&x-expires=1775613600&x-signature=adpe4pZ3%2FCEuPChOtyEjSFLPQg8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,at boyfriend hauna wakukununulia the world,at boyfriend hauna wakukununulia the world,v2,6,True,False,True,False,False,False,False,False,False,True,substantive_v2_signal
alisema 35 and above rudia hiyo video vizuri,0,,2025-07-22T13:51:23.000Z,marymaru616,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6982534261317354502,7529903475971916600,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/8978f3c37c8241e6a223561825f42b8f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=37210d4b&x-expires=1775613600&x-signature=IPRtDXHR8s9ETGTGH5HwwMNgwSM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,alisema 35 and above rudia hiyo video vizuri,alisema 35 and above rudia hiyo video vizuri,v2,8,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
sisi wa 30 tuko sawa,1,,2025-07-23T10:17:44.000Z,nyambura558,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7377795773029811205,7530178864581215032,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/1c9cfd97008b501c3650a58147d13b70~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3db0d013&x-expires=1775613600&x-signature=y9U9yxBQQ0IYmdvL2Y9sRR8oMpU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,sisi wa 30 tuko sawa,sisi wa 30 tuko sawa,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
Gari si utajiri ni usafiri,12,1.0,2025-07-23T17:29:58.000Z,peterkamweru516,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7000234215544292358,7530330901541110534,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/9bbf46a421d0357b16b54e41e7b92225~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=76f163cf&x-expires=1775613600&x-signature=gRm2645Gl3Y8PR1tfYfJKXLJ0Tw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Gari si utajiri ni usafiri,gari si utajiri ni usafiri,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
Ego is loud growth is quite my take home,13,0.0,2025-07-21T06:04:06.000Z,sarahmaranga372,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7018248956434547717,7529411936334005048,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/97113a1ac506ce8f2c1ab1a767d548cf~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=90c6899f&x-expires=1775613600&x-signature=wEN%2BvlhlwnODXYzJ5IeB8EX6tms%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,Ego is loud growth is quite my take home,ego is loud growth is quite my take home,v2,9,False,False,True,False,False,False,False,False,False,True,substantive_v2_len
he should take lessons from khalif khairo,9,0.0,2025-07-21T05:22:59.000Z,skylarwanjira07,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7055389654221063169,7529400375424107271,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/44ab0073527a50d02747b002f8736473~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ccc2840a&x-expires=1775613600&x-signature=q5tr7teyWru9Up17V1EFmSN34c0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,he should take lessons from khalif khairo,he should take lessons from khalif khairo,v2,7,False,False,True,False,False,False,True,False,False,True,substantive_v2_signal
we fight against and live,2,,2025-07-21T06:14:09.000Z,msaita,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6773910724626859014,7529414460257387269,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/1ee876f7ce8ffc0477910a2c5dac7450~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ecad5c6&x-expires=1775613600&x-signature=qEwD1Rg2I9am4qfiEyb%2BtzUcHJo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,Tiktok; Young man who thinks it's a shame not having a car at 35.xlsx,text,we fight against and live,we fight against and live,v2,5,False,False,True,False,False,False,False,False,False,True,substantive_v2_signal
