question_id,question,scoring_mode,option,n_items,observed_disagreement,expected_disagreement,krippendorff_alpha
Q1,Q1. Does the content start with an attention-getter?,single_choice_nominal,,200,0.330000,0.487200,0.322660
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Compelling question,200,0.085000,0.125887,0.324794
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Use of all CAPS,200,0.095000,0.099487,0.045106
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Humor or sarcasm,200,0.045000,0.043987,-0.023018
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Shares something violent or gross,200,0.030000,0.048750,0.384615
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Shares something sexual,200,0.060000,0.085950,0.301920
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Shares something surprising,200,0.215000,0.251487,0.145087
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Uses a news headline or social media trend as opener,200,0.015000,0.014887,-0.007557
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Interesting visual or meme,200,0.000000,0.000000,
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,Other,200,0.120000,0.112800,-0.063830
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,use of all caps;humor or sarcasm,200,0.015000,0.014887,-0.007557
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,use of all caps;compelling question,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,shares something surprising;use of all caps,200,0.015000,0.014887,-0.007557
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,shares something surprising;shares something sexual,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,use of all caps;shares something surprising,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,use of all caps;shares something violent or gross,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,uses all caps,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,shares something sexual;use of all caps,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,shares something violent or gross;uses a news headline or social media trend as opener,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,shares something sexual;humor or sarcasm,200,0.005000,0.004987,-0.002506
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",multi_select_binary_option,shares something surprising;humor or sarcasm,200,0.005000,0.004987,-0.002506
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Dating/marriage,200,0.190000,0.438750,0.566952
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Friends/socializing,200,0.040000,0.067550,0.407846
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Family/children,200,0.130000,0.288750,0.549784
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Money/status,200,0.070000,0.103950,0.326599
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Fitness/self-improvement,200,0.005000,0.024687,0.797468
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Mental health,200,0.145000,0.356888,0.593710
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,"Gender issues, e.g. equality",200,0.000000,0.000000,
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,"Social issues, e.g. corruption",200,0.000000,0.000000,
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Religion/morality,200,0.065000,0.081387,0.201352
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Gaming/technology,200,0.005000,0.004987,-0.002506
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,Other,200,0.055000,0.053487,-0.028278
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,gender issues,200,0.375000,0.433388,0.134724
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,dating / marriage,200,0.060000,0.058200,-0.030928
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,social issues,200,0.160000,0.233550,0.314922
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,e.g. equality,200,0.240000,0.313950,0.235547
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,dating,200,0.005000,0.004987,-0.002506
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,e.g. corruption,200,0.135000,0.167887,0.195890
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,mental heath,200,0.005000,0.004987,-0.002506
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,mental health & gender issues,200,0.005000,0.004987,-0.002506
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,dating / sex,200,0.005000,0.004987,-0.002506
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,multi_select_binary_option,family,200,0.010000,0.009950,-0.005025
