author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@gloriakapfu,Is he alive,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Is he alive,is he alive,v1,3,False,False,True,False,False,False,False,False,False,True,substantive_v1
@gloriakapfu,And he was a teacher,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,And he was a teacher,and he was a teacher,v1,5,False,False,True,False,False,False,False,False,False,True,substantive_v1
@carrenwangari2470,I feel like this is what exactly was happening to my brother according to behavior resembles,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,I feel like this is what exactly was happening to my brother according to behavior resembles,i feel like this is what exactly was happening to my brother according to behavior resembles,v1,16,False,False,True,False,False,True,False,True,False,True,substantive_v1
@moureenosiro5453,Most ugenya men are possesed with demon of anger,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,1,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Most ugenya men are possesed with demon of anger,most ugenya men are possesed with demon of anger,v1,9,True,False,True,False,False,False,False,False,False,True,substantive_v1
@hannahsinnerhealingforum6395,May the lord continue to heal you,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,May the lord continue to heal you,may the lord continue to heal you,v1,7,False,False,True,False,False,False,False,False,False,True,substantive_v1
@stellamoraa1621,Girls are not bastards,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Girls are not bastards,girls are not bastards,v1,4,True,False,True,False,False,False,False,False,False,True,substantive_v1
@SharedMomentswithJustus,Check in the description all his details are there,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Check in the description all his details are there,check in the description all his details are there,v1,9,False,False,True,False,False,False,False,False,False,True,substantive_v1
@okakafelix3644,The opening is like reading Chimamandas Purple Hibiscus,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,2,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,The opening is like reading Chimamandas Purple Hibiscus,the opening is like reading chimamandas purple hibiscus,v1,8,True,False,True,False,False,False,False,False,False,True,substantive_v1
@pichunakichuna2111,My mum was a psychopath,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,My mum was a psychopath,my mum was a psychopath,v1,5,False,False,True,False,False,False,False,False,False,True,substantive_v1
@marykariuki7381,Children must be planned for,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,reply,,2,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Children must be planned for,children must be planned for,v1,5,False,False,True,False,False,False,True,False,False,True,substantive_v1
@kuchojoe500,I love his final words,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,I love his final words,i love his final words,v1,5,False,False,True,False,False,False,False,False,False,True,substantive_v1
@mbejja,Parents please be real parents,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,2,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Parents please be real parents,parents please be real parents,v1,5,False,False,False,False,False,False,False,False,False,True,substantive_v1
@nyabokeomwoyo7463,Childhood trauma is real and this trauma that may have seemed to happen long time will affect how you in your marriage,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,1,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Childhood trauma is real and this trauma that may have seemed to happen long time will affect how you in your marriage,childhood trauma is real and this trauma that may have seemed to happen long time will affect how you in your marriage,v1,22,False,False,True,False,False,False,False,False,False,True,substantive_v1
@CosmicRoots727,Highly intelligent and spiritually awoke man,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,5,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Highly intelligent and spiritually awoke man,highly intelligent and spiritually awoke man,v1,6,True,False,True,False,False,False,False,False,False,True,substantive_v1
