author,comment,commentsCount,pageUrl,replyCount,title,type,videoID,voteCount,source_file,source_text_col,comment_text,comment_text_norm,mode,word_count,has_gender_hint,has_stance_hint,has_experience_hint,has_learning_hint,has_change_hint,has_reinforcement_hint,has_action_hint,has_info_hint,has_identity_hint,keep,keep_reason
@victorkihika6408,I am so glad I watched this.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,I am so glad I watched this.,i am so glad i watched this.,v2,7,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@FloraHerena,Your uncle was a police man and he watched you being abused the way you did ? That’s sick,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Your uncle was a police man and he watched you being abused the way you did ? That’s sick,your uncle was a police man and he watched you being abused the way you did ? that's sick,v2,19,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@gracemfune9118,Man this story just stired some emotions in me.i feel like you just told my whole story.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Man this story just stired some emotions in me.i feel like you just told my whole story.,man this story just stired some emotions in me.i feel like you just told my whole story.,v2,18,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@philliipahkoka2774,"I know Erick so well,after the burn he was brought  to my house and he lived with us for 1 year.This is a real life experience.",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,"I know Erick so well,after the burn he was brought  to my house and he lived with us for 1 year.This is a real life experience.","i know erick so well,after the burn he was brought to my house and he lived with us for 1 year.this is a real life experience.",v2,28,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@derrickmlami8204,Join Kibe Space everyday from Monday to Friday all these are discussed on this space.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Join Kibe Space everyday from Monday to Friday all these are discussed on this space.,join kibe space everyday from monday to friday all these are discussed on this space.,v2,15,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@karungineisherreyes5101,How do I contact him please?! Either on Facebook or email?!,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,How do I contact him please?! Either on Facebook or email?!,how do i contact him please?! either on facebook or email?!,v2,11,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@karungineisherreyes5101,Oh dear!,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Oh dear!,oh dear!,v2,2,False,False,False,False,False,False,False,False,False,False,emoji_or_punct_only
@queeniduaye726,You are amazing! Good to hear from a man 👨,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,You are amazing! Good to hear from a man 👨,you are amazing! good to hear from a man 👨,v2,9,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@cynogoro,This is a refreshing interview. Happy to see men stepping out of toxic societal norms and becoming emotionally healthy 👏🏾,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,This is a refreshing interview. Happy to see men stepping out of toxic societal norms and becoming emotionally healthy 👏🏾,this is a refreshing interview. happy to see men stepping out of toxic societal norms and becoming emotionally healthy 👏🏾,v2,19,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@dikoliza5847,Your father was evil...he was possessed by his own demons,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Your father was evil...he was possessed by his own demons,your father was evil...he was possessed by his own demons,v2,11,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@alessandravannuccini2275,"A lesson of love ❤
Thank you Mr. Otieno!",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,"A lesson of love ❤
Thank you Mr. Otieno!",a lesson of love ❤ thank you mr. otieno!,v2,8,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Wanjamburu.23,How can I join the WhatsApp?,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,How can I join the WhatsApp?,how can i join the whatsapp?,v2,6,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@alicenyambura1130,Can relate.... All is well. Well done brother.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Can relate.... All is well. Well done brother.,can relate.... all is well. well done brother.,v2,8,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@wandacadofarm.5759,"Be blessed,  well presented, truly  experiential.",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,"Be blessed,  well presented, truly  experiential.","be blessed, well presented, truly experiential.",v2,6,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@ln2542,WOW!!!! You are a pearl and a genius ! May God guide you to greater heights. You have learnt a lot and have been really inspirational. May He heal you from your past wounds. Let your light shine! You are talented and have a lot to offer! Thank you for sharing!,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,WOW!!!! You are a pearl and a genius ! May God guide you to greater heights. You have learnt a lot and have been really inspirational. May He heal you from your past wounds. Let your light shine! You are talented and have a lot to offer! Thank you for sharing!,wow!!!! you are a pearl and a genius ! may god guide you to greater heights. you have learnt a lot and have been really inspirational. may he heal you from your past wounds. let your light shine! you are talented and have a lot to offer! thank you for sharing!,v2,50,False,False,True,True,False,False,False,False,False,False,emoji_or_punct_only
@wisdomlife,"This is a great story, what we do to our children shapes their future indeed...",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,"This is a great story, what we do to our children shapes their future indeed...","this is a great story, what we do to our children shapes their future indeed...",v2,15,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Wanjamburu.23,"So so sad that a whole grown man unleashes his idiocy on a wife and kids
 Am disappointed! Thank you for sharing about effects of childhood traumas. Your dad is a perfect example of a Narcissist and thanks for learning to handle your situation.",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,"So so sad that a whole grown man unleashes his idiocy on a wife and kids
 Am disappointed! Thank you for sharing about effects of childhood traumas. Your dad is a perfect example of a Narcissist and thanks for learning to handle your situation.",so so sad that a whole grown man unleashes his idiocy on a wife and kids am disappointed! thank you for sharing about effects of childhood traumas. your dad is a perfect example of a narcissist and thanks for learning to handle your situation.,v2,44,True,False,True,True,False,False,False,False,False,False,emoji_or_punct_only
@seanodhiambo4615,"Thanks for sharing my husband was abusive but later on I tried to check on his background I found out that was what his  father used to to be violent and abusive. The pattern was repeating itself
For real men are struggling from their past and they can't find way out of the situation though the solution is reprograme our mind so that we can be free from the trauma",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,2,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,"Thanks for sharing my husband was abusive but later on I tried to check on his background I found out that was what his  father used to to be violent and abusive. The pattern was repeating itself
For real men are struggling from their past and they can't find way out of the situation though the solution is reprograme our mind so that we can be free from the trauma",thanks for sharing my husband was abusive but later on i tried to check on his background i found out that was what his father used to to be violent and abusive. the pattern was repeating itself for real men are struggling from their past and they can't find way out of the situation though the solution is reprograme our mind so that we can be free from the trauma,v2,71,True,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@Unseen_abilities,You have put it so well. We need to feel safe around people so that we don’t continue to replicate the pains we hold on other people. That’s the only way to stop the vicious cycle. Thank you,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,You have put it so well. We need to feel safe around people so that we don’t continue to replicate the pains we hold on other people. That’s the only way to stop the vicious cycle. Thank you,you have put it so well. we need to feel safe around people so that we don't continue to replicate the pains we hold on other people. that's the only way to stop the vicious cycle. thank you,v2,40,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@risperkariuki1459,"What ""kilakitu""?",251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,"What ""kilakitu""?","what ""kilakitu""?",v2,2,False,False,True,False,False,False,False,False,False,False,emoji_or_punct_only
@risperkariuki1459,To imagine that there were grown ups  in this house who could no protect this child from an irrational psycopath parent. Including the Mom... So heart rending.,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,1,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,To imagine that there were grown ups  in this house who could no protect this child from an irrational psycopath parent. Including the Mom... So heart rending.,to imagine that there were grown ups in this house who could no protect this child from an irrational psycopath parent. including the mom... so heart rending.,v2,27,False,False,True,False,False,False,True,False,False,False,emoji_or_punct_only
@gloriakapfu,Is he alive,251,https://www.youtube.com/watch?v=qKTyoG1PXJc,0,My voice was beaten out of me by my father  - Toxic masculinity,comment,,0,Youtube-My voice was beaten out of me by my father - Toxic masculinity .xlsx,comment,Is he alive,is he alive,v2,3,False,False,True,False,False,False,False,False,False,False,too_few_words_v2
