Question ID,Type,Metric,Main score,Percent/exact agreement,Jaccard,Alpha,Valid rows,Candidate file
Q1,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q1,Single-answer,Krippendorff alpha,1.000000,1.000000,,1.000000,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q1,Single-answer,Krippendorff alpha,0.324353,0.670000,,0.324353,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q1,Single-answer,Krippendorff alpha,0.314685,0.720000,,0.314685,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q1,Single-answer,Krippendorff alpha,0.297252,0.650000,,0.297252,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q1,Single-answer,Krippendorff alpha,0.228600,0.710000,,0.228600,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q1,Single-answer,Krippendorff alpha,0.212640,0.630000,,0.212640,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q1,Single-answer,Krippendorff alpha,0.199498,0.680000,,0.199498,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q1,Single-answer,Krippendorff alpha,0.191843,0.595000,,0.191843,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q1,Single-answer,Krippendorff alpha,0.176495,0.650000,,0.176495,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q1,Single-answer,Krippendorff alpha,0.176495,0.650000,,0.176495,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q1,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q1,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q1,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q1,Single-answer,Krippendorff alpha,-999.000000,,,-999.000000,0,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q10,Multi-select,Jaccard,1.000000,1.000000,1.000000,,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q10,Multi-select,Jaccard,0.548333,0.375000,0.548333,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q10,Multi-select,Jaccard,0.527083,0.315000,0.527083,,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q10,Multi-select,Jaccard,0.495833,0.235000,0.495833,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q10,Multi-select,Jaccard,0.481667,0.215000,0.481667,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q10,Multi-select,Jaccard,0.451000,0.055000,0.451000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q10,Multi-select,Jaccard,0.445000,0.310000,0.445000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q10,Multi-select,Jaccard,0.380083,0.050000,0.380083,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q10,Multi-select,Jaccard,0.340833,0.215000,0.340833,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q10,Multi-select,Jaccard,0.340833,0.215000,0.340833,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q10,Multi-select,Jaccard,0.324167,0.200000,0.324167,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q10,Multi-select,Jaccard,0.200000,0.200000,0.200000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q10,Multi-select,Jaccard,0.150000,0.150000,0.150000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q10,Multi-select,Jaccard,0.000000,0.000000,0.000000,,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q10,Multi-select,Jaccard,0.000000,0.000000,0.000000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q11,Multi-select,Jaccard,1.000000,1.000000,1.000000,,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q11,Multi-select,Jaccard,0.394167,0.065000,0.394167,,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q11,Multi-select,Jaccard,0.370583,0.100000,0.370583,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q11,Multi-select,Jaccard,0.354500,0.080000,0.354500,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q11,Multi-select,Jaccard,0.354500,0.080000,0.354500,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q11,Multi-select,Jaccard,0.354417,0.050000,0.354417,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q11,Multi-select,Jaccard,0.320000,0.160000,0.320000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q11,Multi-select,Jaccard,0.317750,0.045000,0.317750,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q11,Multi-select,Jaccard,0.245000,0.135000,0.245000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q11,Multi-select,Jaccard,0.225000,0.125000,0.225000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q11,Multi-select,Jaccard,0.200000,0.200000,0.200000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q11,Multi-select,Jaccard,0.150000,0.150000,0.150000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q11,Multi-select,Jaccard,0.005000,0.005000,0.005000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q11,Multi-select,Jaccard,0.000000,0.000000,0.000000,,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q11,Multi-select,Jaccard,0.000000,0.000000,0.000000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q12,Multi-select,Jaccard,1.000000,1.000000,1.000000,,198,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q12,Multi-select,Jaccard,0.642083,0.545000,0.642083,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q12,Multi-select,Jaccard,0.441667,0.285000,0.441667,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q12,Multi-select,Jaccard,0.427083,0.155000,0.427083,,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q12,Multi-select,Jaccard,0.396167,0.165000,0.396167,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q12,Multi-select,Jaccard,0.382083,0.300000,0.382083,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q12,Multi-select,Jaccard,0.374083,0.195000,0.374083,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q12,Multi-select,Jaccard,0.334583,0.285000,0.334583,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
Q12,Multi-select,Jaccard,0.334583,0.285000,0.334583,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/LLM Coding Content Analysis - LLM Kenya.csv
Q12,Multi-select,Jaccard,0.202020,0.202020,0.202020,,198,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM_Coding_Content_Analysis_Kenya_unique_200_by_Content_ID.csv
Q12,Multi-select,Jaccard,0.194167,0.160000,0.194167,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (1).csv
Q12,Multi-select,Jaccard,0.151515,0.151515,0.151515,,198,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - Kenya.csv
Q12,Multi-select,Jaccard,0.140000,0.120000,0.140000,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q12,Multi-select,Jaccard,0.000000,0.000000,0.000000,,198,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/documents/Final LLM Coding Content Analysis - Kenya.csv
Q12,Multi-select,Jaccard,0.000000,0.000000,0.000000,,198,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya.csv
Q13,Multi-select,Jaccard,1.000000,1.000000,1.000000,,200,/Users/dhruvbhanderi/Documents/reserach/Final LLM Coding Content Analysis - Kenya.csv
Q13,Multi-select,Jaccard,0.547500,0.475000,0.547500,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final_LLM_Coding_Content_Analysis_-_Kenya_Coded - Final_LLM_Coding_Content_Analysis_-_Kenya_Coded.csv
Q13,Multi-select,Jaccard,0.484167,0.335000,0.484167,,200,/Users/dhruvbhanderi/Documents/Gates cursor/llm_coding/outputs/Final_LLM_Coding_Kenya_coded.csv
Q13,Multi-select,Jaccard,0.439167,0.325000,0.439167,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/Final LLM Coding Content Analysis - Kenya_FILLED.csv
Q13,Multi-select,Jaccard,0.433333,0.340000,0.433333,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_COMPLETED (2).csv
Q13,Multi-select,Jaccard,0.417500,0.355000,0.417500,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/LLM Coding Content Analysis - LLM Kenya.csv
Q13,Multi-select,Jaccard,0.390833,0.210000,0.390833,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final%20LLM%20Coding%20Content%20Analysis%20-%20Kenya_completed.csv
Q13,Multi-select,Jaccard,0.373750,0.165000,0.373750,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed (3).csv
Q13,Multi-select,Jaccard,0.353333,0.310000,0.353333,,200,/Users/dhruvbhanderi/Documents/USC/New Research Engineer/LLM Coding/redo/Final LLM Coding Content Analysis - Kenya_completed.csv
