sheet,row,status,note,recommendation
Philip Karanja,1,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,2,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,3,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,4,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,5,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,7,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,9,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,10,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,13,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,14,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
