Flag type,Detail
human,"RIX-086 Q2: normalized label/separator/case: raw=""Gender issues, social issues, Mental health"" -> ""Mental health, Gender issues, Social issues"""
human,"PHIL-012 Q2: normalized label/separator/case: raw=""Gender issues, social issues, Dating/marriage"" -> ""Dating/marriage, Gender issues, Social issues"""
human,"PHIL-019 Q2: normalized label/separator/case: raw=""Gender issues, social issues, Dating/marriage"" -> ""Dating/marriage, Gender issues, Social issues"""
human,"PHIL-029 Q12: unresolved noncanonical value: raw=""Anecdotal examples"" -> ""Anecdotal examples"""
human,"KIBE-014 Q18A: normalized label/separator/case: raw=""Dominate more"" -> ""Other"""
human,"KIBE-014 Q18: unresolved noncanonical value: raw=""Other"" -> ""Other"""
human,"KIBE-052 Q18A: normalized label/separator/case: raw=""Dominate more"" -> ""Other"""
human,"KIBE-052 Q7: normalized label/separator/case: raw=""Men need to dominate/ead"" -> ""Men need to dominate/lead"""
human,"KIBE-052 Q18: unresolved noncanonical value: raw=""Other"" -> ""Other"""
human,"KIBE-077 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"KIBE-091 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"KIBE-091 Q7: normalized label/separator/case: raw=""Men need to now show emotions"" -> ""Men need to not show emotions"""
human,"1951561231522746625 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism"" -> ""Women/feminism, Men's behavior"""
human,"1951561231522746625 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"1951561231522746625 Q7: normalized label/separator/case: raw=""Men need to dominate/lead, Men need to now show emotions"" -> ""Men need to dominate/lead, Men need to not show emotions"""
human,"1951614290114310219 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"1954835680426635741 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"1975245528242729101 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism"" -> ""Women/feminism, Men's behavior"""
human,"1975245528242729101 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"1975245528242729101 Q1A: normalized label/separator/case: raw=""Uses all CAPS"" -> ""Use of all CAPS"""
human,"2040406554671829239 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism"" -> ""Women/feminism, Men's behavior"""
human,"2040406554671829239 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"2040459874526433729 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"2046157177539162148 Q8: normalized label/separator/case: raw=""Men's behavior, Global political/social/cultural problems"" -> ""Global political/social/cultural problems, Men's behavior"""
human,"2046157177539162148 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"2046157177539162148 Q13: normalized label/separator/case: raw=""References external sources"" -> ""References external sources such as other influencers"""
human,"2048821238248669312 Q8: normalized label/separator/case: raw=""Men's behavior, Global political/social/cultural problems"" -> ""Global political/social/cultural problems, Men's behavior"""
human,"2048821238248669312 Q4: Q4 bare Yes -> Yes, explicitly: raw=""Yes"" -> ""Yes, explicitly"""
human,"2048821238248669312 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"1954188481585873209 Q11: normalized label/separator/case: raw=""Information seeking, connetion/social interaction"" -> ""Information seeking, Connection/social interaction"""
human,"2043969069993378270 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism"" -> ""Women/feminism, Men's behavior"""
human,"KIBE-002 Q2: normalized label/separator/case: raw=""Mental health, Dating/marriage"" -> ""Dating/marriage, Mental health"""
human,"EDDY-036 Q2: normalized label/separator/case: raw=""Mental heath"" -> ""Mental health"""
human,"2048009544043758028 Q8: normalized label/separator/case: raw=""Men's behavior, Women/feminism"" -> ""Women/feminism, Men's behavior"""
human,"EDDY-061 Q2: normalized label/separator/case: raw=""Mental health, Fitness/self-improvement"" -> ""Fitness/self-improvement, Mental health"""
human,"EDDY-061 Q5: normalized label/separator/case: raw=""Does not address masculinity/gender norms"" -> ""Does not address masculinity or gender norms"""
human,"EDDY-012 Q8: normalized label/separator/case: raw=""Mental Health / Kenyan Cultural Problems"" -> ""Kenyan or Nigerian political/social problems, Mental health/emotional struggle"""
