Codebook question,Question ID,Type,Agreement metric,Score,Interpretation,Percent / exact agreement,Krippendorff's alpha,Jaccard,Valid rows,Column
Q1. Does the content start with an attention-getter?,Q1,Single-answer,Krippendorff's alpha,0.324353,Weak agreement,0.670000,0.324353,,200,"Q1. Does the content start with an attention-getter? Options: Yes No Attention-getter could be verbal or visual, such as video titles and/or captions. These visual attention-getters may include statements in all caps, statements with excessive exclamation points [list some examples, potentially include screenshot examples. Not needed if we decide to focus on verbal attention-getters only]"
"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Q1A,Multi-select,Jaccard,0.161254,Weak agreement,0.102564,,0.161254,117,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply. Options: Compelling question / Use of all CAPS / Humor or sarcasm / Shares something violent or gross / Shares something sexual / Shares something surprising / Uses a news headline or social media trend as opener / Interesting visual or meme / Other"
Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Q2,Multi-select,Jaccard,0.427083,Weak agreement,0.245000,,0.427083,200,"Q2. What is/are the primary topic(s) of the content? Choose all that apply. Options: Dating/marriage / Friends/socializing / Family/children / Money/status / Fitness/self-improvement / Mental health / Gender issues, e.g. equality / Social issues, e.g. corruption / Religion/morality / Gaming/technology / Other"
Q3. Characterize the type of content.,Q3,Single-answer,Krippendorff's alpha,0.124297,Weak agreement,0.388889,0.124297,,198,Q3. Characterize the type of content. Options: Interview/conversational content / Motivational/self-help content / Commentary/reaction content / Other
Q4. Does this content address masculinity / gender norms?,Q4,Single-answer,Krippendorff's alpha,0.361016,Weak agreement,0.650000,0.361016,,200,"Q4. Does this content address masculinity / gender norms? Options: Yes, explicitly / Yes, implicitly / No"
"Q5. If yes, how would you characterize the type of masculinity or gender norms addressed?",Q5,Single-answer,Krippendorff's alpha,0.453582,Weak agreement,0.646707,0.453582,,167,"Q5. If yes, how would you characterize the type of masculinity or gender norms addressed? Options: More regressive/traditional/restrictive / More progressive/equitable/expansive / Mixed/unclear / Does not address masculinity or gender norms"
"Q6. If yes, does the content address what men should do or be in society?",Q6,Single-answer,Krippendorff's alpha,0.304961,Weak agreement,0.624242,0.304961,,165,"Q6. If yes, does the content address what men should do or be in society? Options: Yes / No / Unclear / Not applicable"
"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Q7,Multi-select,Jaccard,0.176554,Weak agreement,0.118644,,0.176554,177,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply. Options: Men need to dominate/lead / Men need to provide/succeed / Men are disadvantaged/victims / Men need to improve themselves / Men need to be fully self-reliant / Men need to be emotionally open / Men need to not show emotions / Men need to be equal partners / Mixed/unclear / Other / Not applicable"
Q8. What problem is being identified in the content? Choose all that apply.,Q8,Multi-select,Jaccard,0.233500,Weak agreement,0.155000,,0.233500,200,Q8. What problem is being identified in the content? Choose all that apply. Options: Kenyan or Nigerian political/social problems / Global political/social/cultural problems / Western political/social influence / Women/feminism / Men’s behavior / Economic/status pressure / Mental health/emotional struggle / No clear problem is identified / Other
Q9. What solution is being proposed? Choose all that apply.,Q9,Multi-select,Jaccard,0.515000,Moderate / needs caution,0.460000,,0.515000,200,Q9. What solution is being proposed? Choose all that apply. Options: Social or political change / Assert dominance/control / More wealth/status / More self-discipline/fitness / More emotional growth/healing / More equality/respect for men / More equality/respect for women / Building community / No clear solution / Other
Q10. How would you characterize the communication mode of this content? Choose all that apply.,Q10,Multi-select,Jaccard,0.528333,Moderate / needs caution,0.360000,,0.528333,200,Q10. How would you characterize the communication mode of this content? Choose all that apply. Options: Advice/instruction / Personal story / Commentary/opinion / Debate/argument / Humor/satire / Motivational speech / News/telling facts / Other
Q11. Which audience needs does the content aim to fulfill? Choose all that apply.,Q11,Multi-select,Jaccard,0.005000,Weak agreement,0.005000,,0.005000,200,Q11. Which audience needs does the content aim to fulfill? Choose all that apply. Options: Entertainment/escapism / Information seeking / Connection/social interaction / Self expression/identity construction / Status seeking / Documentation of events / None of these apply
