Content ID,Question ID,Flag type,Original value,Cleaned value,Note,Exclude from scoring
EDDY-002,Q8,normalized multi-select formatting,"Mental health/emotional struggle, Economic/status pressure","Economic/status pressure, Mental health/emotional struggle",Standardized separators/case/order/exact labels,No
RIX-017,Q3,normalized multi-select formatting,"Commentary/reaction content, Motivational/self-help content","Motivational/self-help content, Commentary/reaction content",Standardized separators/case/order/exact labels,No
RIX-070,Q8,normalized multi-select formatting,"Mental health/emotional struggle, Global political/social/cultural problems","Global political/social/cultural problems, Mental health/emotional struggle",Standardized separators/case/order/exact labels,No
PHIL-007,Q2,normalized multi-select formatting,"Social issues, Gender issues","Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-011,Q2,normalized multi-select formatting,"Social issues, Gender issues, Family/children","Family/children, Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-012,Q2,normalized multi-select formatting,"Social issues, Gender issues","Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-019,Q2,normalized multi-select formatting,"Social issues, Gender issues","Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-029,Q2,normalized multi-select formatting,"Social issues, Gender issues","Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-029,Q8,normalized multi-select formatting,"Global political/social/cultural problems, Kenyan or Nigerian political/social problems","Kenyan or Nigerian political/social problems, Global political/social/cultural problems",Standardized separators/case/order/exact labels,No
PHIL-029,Q10,normalized multi-select formatting,"News/telling facts, Commentary/opinion","Commentary/opinion, News/telling facts",Standardized separators/case/order/exact labels,No
KIBE-061,Q2,normalized multi-select formatting,"Gender issues, Money/status","Money/status, Gender issues",Standardized separators/case/order/exact labels,No
KIBE-064,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
KIBE-091,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
KIBE-091,Q3,normalized multi-select formatting,"Personal story, Commentary/reaction content","Commentary/reaction content, Personal story",Standardized separators/case/order/exact labels,No
1951561231522746625,Q13,normalized multi-select formatting,"Presented as common sense, Anecdotal examples","Anecdotal examples, Presented as common sense",Standardized separators/case/order/exact labels,No
1951561231522746625,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
1951614290114310219,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
1975245528242729101,Q2,normalized multi-select formatting,"Dating/marriage, Gender issues, Mental health","Dating/marriage, Mental health, Gender issues",Standardized separators/case/order/exact labels,No
2040406554671829239,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
2040459874526433729,Q11,normalized multi-select formatting,"Self expression/identity construction, Entertainment/escapism","Entertainment/escapism, Self expression/identity construction",Standardized separators/case/order/exact labels,No
1954188481585873209,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
1954188481585873209,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
KIBE-004,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
KIBE-004,Q3,normalized multi-select formatting,"Advice/instruction, Commentary/reaction content","Commentary/reaction content, Advice/instruction",Standardized separators/case/order/exact labels,No
KIBE-004,Q11,normalized multi-select formatting,"Self expression/identity construction, Information seeking","Information seeking, Self expression/identity construction",Standardized separators/case/order/exact labels,No
KIBE-004,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
EDDY-018,Q3,normalized multi-select formatting,"Commentary/reaction content, Motivational/self-help content","Motivational/self-help content, Commentary/reaction content",Standardized separators/case/order/exact labels,No
RIX-030,Q2,normalized multi-select formatting,"Mental health, Family/children","Family/children, Mental health",Standardized separators/case/order/exact labels,No
RIX-030,Q10,normalized multi-select formatting,"Commentary/opinion, Advice/instruction","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels,No
2043969069993378270,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
2043969069993378270,Q3,normalized multi-select formatting,"Advice/instruction, Commentary/reaction content","Commentary/reaction content, Advice/instruction",Standardized separators/case/order/exact labels,No
2043969069993378270,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
KIBE-002,Q10,normalized multi-select formatting,"Commentary/opinion, Advice/instruction","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels,No
KIBE-002,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
EDDY-036,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
EDDY-036,Q3,normalized multi-select formatting,"Personal story, Commentary/reaction content","Commentary/reaction content, Personal story",Standardized separators/case/order/exact labels,No
EDDY-012,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
EDDY-052,Q2,normalized multi-select formatting,"Mental health, Fitness/self-improvement","Fitness/self-improvement, Mental health",Standardized separators/case/order/exact labels,No
EDDY-052,Q3,normalized multi-select formatting,"Commentary/reaction content, Motivational/self-help content","Motivational/self-help content, Commentary/reaction content",Standardized separators/case/order/exact labels,No
RIX-007,Q2,normalized multi-select formatting,"Mental health, Family/children","Family/children, Mental health",Standardized separators/case/order/exact labels,No
RIX-007,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
RIX-009,Q2,normalized multi-select formatting,"Mental health, Family/children","Family/children, Mental health",Standardized separators/case/order/exact labels,No
RIX-009,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
RIX-028,Q2,normalized multi-select formatting,"Mental health, Family/children","Family/children, Mental health",Standardized separators/case/order/exact labels,No
RIX-028,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
RIX-028,Q3,normalized multi-select formatting,"Advice/instruction, Commentary/reaction content","Commentary/reaction content, Advice/instruction",Standardized separators/case/order/exact labels,No
RIX-082,Q9,normalized multi-select formatting,"More emotional growth/healing, Social or political change","Social or political change, More emotional growth/healing",Standardized separators/case/order/exact labels,No
RIX-088,Q2,normalized multi-select formatting,"Mental health, Fitness/self-improvement","Fitness/self-improvement, Mental health",Standardized separators/case/order/exact labels,No
PHIL-002,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
PHIL-002,Q3,normalized multi-select formatting,"Personal story, Commentary/reaction content","Commentary/reaction content, Personal story",Standardized separators/case/order/exact labels,No
PHIL-005,Q2,normalized multi-select formatting,"Social issues, Gender issues","Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-035,Q2,normalized multi-select formatting,"Family/children, Social issues, Gender issues","Family/children, Gender issues, Social issues",Standardized separators/case/order/exact labels,No
PHIL-036,Q2,normalized multi-select formatting,"Social issues, Gender issues","Gender issues, Social issues",Standardized separators/case/order/exact labels,No
KIBE-001,Q10,normalized multi-select formatting,"Commentary/opinion, Advice/instruction","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels,No
KIBE-001,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
KIBE-020,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
KIBE-029,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
KIBE-029,Q10,normalized multi-select formatting,"Commentary/opinion, Advice/instruction","Advice/instruction, Commentary/opinion",Standardized separators/case/order/exact labels,No
KIBE-029,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
1951568877998965117,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
1951568877998965117,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
1975078851945394590,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
1975078851945394590,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
1976936284460351491,Q3,unresolved noncanonical value,Advice/instruction,Advice/instruction,Needs manual review; left as-is,Yes
1976936284460351491,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
2040414105522065830,Q18,unresolved noncanonical value,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,Needs manual review; left as-is,Yes
2048031963504611687,Q11,normalized multi-select formatting,"Self expression/identity construction, Information seeking","Information seeking, Self expression/identity construction",Standardized separators/case/order/exact labels,No
EDDY-028,Q18,unresolved noncanonical value,Calls for men to follow more equitable gender norms,Calls for men to follow more equitable gender norms,Needs manual review; left as-is,Yes
EDDY-031,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
EDDY-031,Q10,normalized multi-select formatting,"Motivational speech, Personal story","Personal story, Motivational speech",Standardized separators/case/order/exact labels,No
EDDY-041,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
RIX-001,Q8,normalized multi-select formatting,"Mental health/emotional struggle, Global political/social/cultural problems","Global political/social/cultural problems, Mental health/emotional struggle",Standardized separators/case/order/exact labels,No
RIX-015,Q3,unresolved noncanonical value,Personal story,Personal story,Needs manual review; left as-is,Yes
