Question ID,Question,Option,Valid rows,TP,FP,FN,TN,Accuracy,Precision,Recall,F1
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Compelling question,200,3,5,5,187,0.950000,0.375000,0.375000,0.375000
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Use of all CAPS,200,4,0,1,195,0.995000,1.000000,0.800000,0.888889
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Humor or sarcasm,200,0,0,4,196,0.980000,,0.000000,
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something violent or gross,200,1,0,2,197,0.990000,1.000000,0.333333,0.500000
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something sexual,200,0,0,6,194,0.970000,,0.000000,
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Shares something surprising,200,1,0,36,163,0.820000,1.000000,0.027027,0.052632
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Uses a news headline or social media trend as opener,200,0,0,3,197,0.985000,,0.000000,
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Interesting visual or meme,200,0,0,0,200,1.000000,,,
Q1A,"Q1a. If yes, what kind of attention-getting strategies does it use? Choose all that apply.",Other,200,0,0,24,176,0.880000,,0.000000,
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Dating/marriage,197,62,4,21,110,0.873096,0.939394,0.746988,0.832215
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Friends/socializing,197,2,0,9,186,0.954315,1.000000,0.181818,0.307692
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Family/children,197,25,10,15,147,0.873096,0.714286,0.625000,0.666667
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Money/status,197,10,8,6,173,0.928934,0.555556,0.625000,0.588235
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Fitness/self-improvement,197,1,2,1,193,0.984772,0.333333,0.500000,0.400000
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Mental health,197,51,23,10,113,0.832487,0.689189,0.836066,0.755556
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Gender issues,197,90,80,4,23,0.573604,0.529412,0.957447,0.681818
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Social issues,197,24,16,16,141,0.837563,0.600000,0.600000,0.600000
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Religion/morality,197,3,1,11,182,0.939086,0.750000,0.214286,0.333333
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Gaming/technology,197,0,0,1,196,0.994924,,0.000000,
Q2,Q2. What is/are the primary topic(s) of the content? Choose all that apply.,Other,197,0,0,11,186,0.944162,,0.000000,
Q3,Q3. Characterize the type of content.,Interview/conversational content,142,7,1,66,68,0.528169,0.875000,0.095890,0.172840
Q3,Q3. Characterize the type of content.,Motivational/self-help content,142,5,14,12,111,0.816901,0.263158,0.294118,0.277778
Q3,Q3. Characterize the type of content.,Commentary/reaction content,142,81,52,2,7,0.619718,0.609023,0.975904,0.750000
Q3,Q3. Characterize the type of content.,Other,142,0,0,0,142,1.000000,,,
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to dominate/lead,200,29,24,10,137,0.830000,0.547170,0.743590,0.630435
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to provide/succeed,200,4,5,8,183,0.935000,0.444444,0.333333,0.380952
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men are disadvantaged/victims,200,0,2,10,188,0.940000,0.000000,0.000000,
Q7,"Q7. If yes, what does the content indicate men do or need to do? Choose all that apply.",Men need to improve themselves,200,2,0,8,190,0.960000,1.000000,0.200000,0.333333
