Content ID,Human_Q1,LLM_Q1,Exact_Q1,Human_Q1A,LLM_Q1A,Exact_Q1A,Jaccard_Q1A,Human_Q2,LLM_Q2,Exact_Q2,Jaccard_Q2,Human_Q3,LLM_Q3,Exact_Q3,Human_Q4,LLM_Q4,Exact_Q4,Human_Q5,LLM_Q5,Exact_Q5,Human_Q6,LLM_Q6,Exact_Q6,Human_Q7,LLM_Q7,Exact_Q7,Jaccard_Q7,Human_Q8,LLM_Q8,Exact_Q8,Jaccard_Q8,Human_Q9,LLM_Q9,Exact_Q9,Jaccard_Q9,Human_Q10,LLM_Q10,Exact_Q10,Jaccard_Q10,Human_Q11,LLM_Q11,Exact_Q11,Jaccard_Q11,Human_Q12,LLM_Q12,Exact_Q12,Human_Q13,LLM_Q13,Exact_Q13,Human_Q14,LLM_Q14,Exact_Q14,Human_Q15,LLM_Q15,Exact_Q15,Human_Q16,LLM_Q16,Exact_Q16,Human_Q17,LLM_Q17,Exact_Q17,Human_Q18,LLM_Q18,Exact_Q18,Human_Q18A,LLM_Q18A,Exact_Q18A,Jaccard_Q18A
1951546068304314751,No,Yes,0,,Other,0,0.000000,Dating/marriage; Money/status,"Dating/marriage; Fitness/self-improvement; Gender issues, e.g. equality",0,0.250000,"Commentary/reaction content, motivational/self-help content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Other,Men need to dominate/lead; Men need to improve themselves,0,0.000000,Other; Women/feminism,Men’s behavior,0,0.000000,More equality/respect for men,Assert dominance/control,0,0.000000,Advice/instruction; Commentary/opinion,Advice/instruction; Commentary/opinion; Personal story,0,0.666667,Entertainment/escapism; Self expression/identity construction,Connection/social interaction; Self expression/identity construction,0,0.333333,Generalizations about men/women,Personal experience,0,Presented as common sense,Presented as common sense,1,Neutral,Mixed,0,Negative,Negative,1,Positive,Positive,1,Yes,No,0,Yes,Yes,1,Calls for men to follow more traditional gender norms; Other,Calls for men to follow more traditional gender norms,0,0.500000
1951561231522746625,No,Yes,0,,Compelling question; Use of all CAPS,0,0.000000,Dating/marriage,"Dating/marriage; Family/children; Fitness/self-improvement; Friends/socializing; Gender issues, e.g. equality",0,0.200000,Commentary/reaction content,Motivational/self-help content,0,"Yes, implicitly","Yes, explicitly",0,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to dominate/lead,Men are disadvantaged/victims; Men need to dominate/lead; Men need to improve themselves,0,0.333333,Women/feminism,Men’s behavior; Women/feminism,0,0.500000,Assert dominance/control,Assert dominance/control,1,1.000000,Advice/instruction,Advice/instruction; Commentary/opinion; Debate/argument; Personal story,0,0.250000,Information seeking,Connection/social interaction; Self expression/identity construction; Status seeking,0,0.000000,Mixed,Mixed,1,Presented as common sense,"Anecdotal examples, Presented as common sense",0,Positive,Mixed,0,Negative,Negative,1,Positive,Positive,1,Somewhat,No,0,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
1951568877998965117,No,Yes,0,,Other,0,0.000000,Dating / Marriage,"Dating/marriage; Fitness/self-improvement; Gender issues, e.g. equality",0,0.000000,Commentary Content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive,More regressive/traditional/restrictive,0,NO,Yes,0,,Men need to be fully self-reliant; Men need to dominate/lead; Men need to improve themselves,0,0.000000,Women / Women's Behavior,No clear problem is identified,0,0.000000,No clear solution,Assert dominance/control,0,0.000000,Debate / Argument,Advice/instruction; Commentary/opinion; Personal story,0,0.000000,None of these apply,Connection/social interaction; Self expression/identity construction,0,0.000000,Generalizations about women,Personal experience,0,No Justification,Presented as common sense,0,Mixed,Mixed,1,Negative,Negative,1,Positive,Positive,1,No,No,1,NO,Yes,0,,Calls for men to follow more traditional gender norms,0,0.000000
1951583978584002773,Yes,Yes,1,Compelling question,Compelling question; Use of all CAPS,0,0.500000,Dating/marriage,"Fitness/self-improvement; Gender issues, e.g. equality",0,0.000000,Commentary/reaction content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Other,Men need to dominate/lead; Men need to improve themselves,0,0.000000,Other; Women/feminism,Men’s behavior,0,0.000000,More equality/respect for men,Assert dominance/control,0,0.000000,Advice/instruction; Commentary/opinion,Advice/instruction; Commentary/opinion; Debate/argument; Personal story,0,0.500000,Entertainment/escapism; Self expression/identity construction,Connection/social interaction; Information seeking; Self expression/identity construction,0,0.250000,Generalizations about men/women,Personal experience,0,Presented as common sense,Anecdotal examples,0,Mixed,Mixed,1,Negative,Negative,1,Positive,Positive,1,No,No,1,Yes,Yes,1,Calls for men to follow more traditional gender norms; Other,Calls for men to follow more traditional gender norms,0,0.500000
1951614290114310219,No,Yes,0,,Shares something surprising,0,0.000000,Dating/marriage,"Fitness/self-improvement; Gender issues, e.g. equality; Social issues, e.g. corruption",0,0.000000,Commentary/reaction content,Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to dominate/lead,Men need to dominate/lead; Men need to improve themselves,0,0.500000,Women/feminism,Global political/social/cultural problems; Men’s behavior; Women/feminism,0,0.333333,Assert dominance/control,Assert dominance/control,1,1.000000,Commentary/opinion,Advice/instruction; Commentary/opinion; Personal story,0,0.333333,Information seeking,Connection/social interaction; Self expression/identity construction; Status seeking,0,0.000000,Generalizations about men/women,Mixed,0,Presented as common sense,Presented as common sense,1,Neutral,Mixed,0,Negative,Negative,1,Positive,Positive,1,Somewhat,Somewhat,1,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms; Calls for women to follow more traditional gender norms,0,0.500000
1951636792672661776,Yes,Yes,1,Other,Other,1,1.000000,Friends/socializing; Other,"Gender issues, e.g. equality; Mental health; Social issues, e.g. corruption",0,0.000000,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to dominate/lead; Other,Men need to dominate/lead,0,0.500000,Other; Women/feminism,Kenyan or Nigerian political/social problems; Mental health/emotional struggle,0,0.000000,Assert dominance/control; Other,Social or political change,0,0.000000,Commentary/opinion; Motivational speech,Advice/instruction; Commentary/opinion,0,0.333333,Self expression/identity construction; Status seeking,Connection/social interaction; Self expression/identity construction,0,0.333333,"Generalizations about men/women, Cultural/social observations",Cultural/social observations,0,"No justification, Presented as common sense",No Justification,0,Positive,Mixed,0,Negative,Negative,1,Positive,Neutral,0,Yes,Somewhat,0,Yes,NO,0,Calls for men to follow more traditional gender norms; Other,,0,0.000000
1951644655797362727,Yes,Yes,1,Other,Other,1,1.000000,Dating/marriage; Mental health,"Gender issues, e.g. equality; Mental health",0,0.333333,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Unclear,0,Men need to dominate/lead; Men need to not show emotions,Mixed/unclear,0,0.000000,Men's behavior,Mental health/emotional struggle; Men’s behavior; Women/feminism,0,0.000000,More self-discipline/fitness; Other,No clear solution,0,0.000000,Advice/instruction; Commentary/opinion; Motivational speech,Advice/instruction; Commentary/opinion,0,0.666667,Information seeking; Self expression/identity construction; Status seeking,Connection/social interaction; Information seeking; Self expression/identity construction,0,0.500000,"Generalizations about men/women, Cultural/social observations",Generalizations about men/women,0,"No justification, Presented as common sense",Presented as common sense,0,Mixed,Mixed,1,Mixed,Negative,0,Positive,Neutral,0,Somewhat,Somewhat,1,Yes,NO,0,Calls for men to follow more traditional gender norms; Other,,0,0.000000
1951659746303377415,Yes,Yes,1,Use of all CAPS,Compelling question; Use of all CAPS,0,0.500000,Gender issues,"Family/children; Fitness/self-improvement; Gender issues, e.g. equality; Money/status",0,0.000000,"Commentary/reaction content, motivational/self-help content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to dominate/lead; Other,Men need to dominate/lead; Men need to improve themselves; Men need to provide/succeed,0,0.250000,Other,Economic/status pressure; Global political/social/cultural problems; Men’s behavior,0,0.000000,More equality/respect for men; More self-discipline/fitness,Assert dominance/control; More wealth/status,0,0.000000,Advice/instruction; Commentary/opinion,Advice/instruction; Commentary/opinion; Debate/argument; Personal story,0,0.500000,Entertainment/escapism; Self expression/identity construction,Connection/social interaction; Self expression/identity construction; Status seeking,0,0.250000,Generalizations about men/women,Mixed,0,Presented as common sense,Presented as common sense,1,Mixed,Mixed,1,Not mentioned,Not mentioned,1,Positive,Positive,1,No,No,1,NO,Yes,0,,Calls for men to follow more traditional gender norms,0,0.000000
1954098073262522452,Yes,Yes,1,Shares something surprising,Other,0,0.000000,"Dating/marriage; Gender issues, e.g. equality; Mental health","Dating/marriage; Gender issues, e.g. equality",0,0.666667,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Unclear,0,Men are disadvantaged/victims; Men need to be fully self-reliant; Men need to dominate/lead,Mixed/unclear,0,0.000000,Mental health/emotional struggle; Men’s behavior; Women/feminism,No clear problem is identified,0,0.000000,Assert dominance/control; More equality/respect for men,No clear solution,0,0.000000,Advice/instruction; Motivational speech,Advice/instruction,0,0.500000,Connection/social interaction; Information seeking; Self expression/identity construction,Connection/social interaction; Self expression/identity construction; Status seeking,0,0.500000,Generalizations about men/women,No support,0,Presented as common sense,No Justification,0,Neutral,Mixed,0,Negative,Negative,1,Positive,Neutral,0,Somewhat,No,0,Yes,NO,0,Calls for men to follow more traditional gender norms,,0,0.000000
1954120691185250750,Yes,Yes,1,Other,Other,1,1.000000,Dating/marriage,"Fitness/self-improvement; Gender issues, e.g. equality",0,0.000000,"Motivational/self-help content, Commentary/reaction content",Motivational/self-help content,0,"Yes, explicitly","Yes, explicitly",1,More regressive/traditional/restrictive,More regressive/traditional/restrictive,1,Yes,Yes,1,Men need to be fully self-reliant; Men need to dominate/lead; Men need to not show emotions,Men need to dominate/lead; Men need to improve themselves,0,0.250000,Women/feminism,Men’s behavior; Women/feminism,0,0.500000,Assert dominance/control,Assert dominance/control; More self-discipline/fitness,0,0.500000,Advice/instruction; Commentary/opinion; Motivational speech,Advice/instruction; Debate/argument; Motivational speech; Personal story,0,0.400000,Self expression/identity construction; Status seeking,Connection/social interaction; Self expression/identity construction; Status seeking,0,0.666667,Generalizations about men/women,Personal experience,0,"No justification, Presented as common sense",No Justification,0,Negative,Mixed,0,Negative,Negative,1,Positive,Neutral,0,Somewhat,No,0,Yes,Yes,1,Calls for men to follow more traditional gender norms,Calls for men to follow more traditional gender norms,1,1.000000
