text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,comment_text,comment_text_norm,keep,keep_reason
"Most of the women you saw are my sister that our Dad took to college and university,I was left out after high school,My dad gives my sister money up now, I was given nothing, Am a boy a. a man,5 years after college,upto now my dad pays my sisters rent.. she have job .I have created my bussines from scratch,she have baby daddy who pays most of her bills.. I have learnt that no one is coming rescue me, Am building my empire now I stay low very low..",269,20.0,2025-11-11T16:50:17.000Z,mikeftubfkg,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7418634942626350086,7571511131064255243,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/92684011fdefae64ddef16e9e5eaea8f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4e96da2d&x-expires=1775620800&x-signature=TqqaHWRahB6prRWQoydziuCXnSk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"Most of the women you saw are my sister that our Dad took to college and university,I was left out after high school,My dad gives my sister money up now, I was given nothing, Am a boy a. a man,5 years after college,upto now my dad pays my sisters rent.. she have job .I have created my bussines from scratch,she have baby daddy who pays most of her bills.. I have learnt that no one is coming rescue me, Am building my empire now I stay low very low..","Most of the women you saw are my sister that our Dad took to college and university,I was left out after high school,My dad gives my sister money up now, I was given nothing, Am a boy a. a man,5 years after college,upto now my dad pays my sisters rent.. she have job .I have created my bussines from scratch,she have baby daddy who pays most of her bills.. I have learnt that no one is coming rescue me, Am building my empire now I stay low very low..",True,piece_relevant
sherehe tuliachia madem na wababaz wao,612,17.0,2025-11-11T18:58:40.000Z,whois_pauloh,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7109037320243201030,7571544191416091410,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/392d1256d93dd969a76d010019e1cf88~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=865fc889&x-expires=1775620800&x-signature=LL5AKtvnz0DGiLOsTmC0qTSV5IA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,sherehe tuliachia madem na wababaz wao,sherehe tuliachia madem na wababaz wao,False,weak
It's about time. The performance culture is draining. It's time to stay grounded and operate in clarity.,333,7.0,2025-11-11T10:51:15.000Z,karanjakibuku,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6697879360987530245,7571418569730360076,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/474877a436513517a1a1aa11696ebb73~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1a2196c1&x-expires=1775620800&x-signature=NXnKldevTbmSPe06rxzLheTvANU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,It's about time. The performance culture is draining. It's time to stay grounded and operate in clarity.,It's about time. The performance culture is draining. It's time to stay grounded and operate in clarity.,True,substantive_broad
Walking away from systems set up by the same men is ironical..but maybe it is well needed👌🏾🤷🏽‍♀️,34,19.0,2025-11-12T04:47:40.000Z,crystaldwkkg1,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7206843959279256581,7571695883827692299,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/9fe3f347937abff91cf31b624dee6738~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=83dbceef&x-expires=1775620800&x-signature=7%2FR9wa2HvemZg23Sh76a2524NO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Walking away from systems set up by the same men is ironical..but maybe it is well needed👌🏾🤷🏽‍♀️,Walking away from systems set up by the same men is ironical..but maybe it is well needed👌🏾🤷🏽‍♀️,True,piece_relevant
they don't have money,104,136.0,2025-11-11T20:28:47.000Z,nyagamel5gmail.com,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7162809067282859013,7571567423661966092,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/17930ebfeafad6e4b919ee6b8ad50b30~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=0d8bafb4&x-expires=1775620800&x-signature=m146CpH6SMlmRyd4EUafjpoUcgo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,they don't have money,they don't have money,True,piece_relevant
Uko kila mahali wewe ukona pesa kwanza ??😂😂,257,,2025-11-11T20:52:20.000Z,jakom_thegreat_,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6901186136941888513,7571573480827912968,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/182a92b5126536c6ccd41c7726daa3e0~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e6bb9ce6&x-expires=1775620800&x-signature=H%2BR70zQOpLLId0vhZP6bPR6aaSo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Uko kila mahali wewe ukona pesa kwanza ??😂😂,Uko kila mahali wewe ukona pesa kwanza ??😂😂,False,weak
Most men used to go to clubs to grow and bond with fellow men away from the other gender until they started following them kwa clubs tena😅,141,4.0,2025-11-11T16:53:36.000Z,_nick_finest8,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7176697661764125701,7571511953438704395,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/9fe50cb77376c74423d911ecbe08708f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2cc8dcaf&x-expires=1775620800&x-signature=V5zBJIo9%2BX4xoJn76FEcVrZ6IoY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Most men used to go to clubs to grow and bond with fellow men away from the other gender until they started following them kwa clubs tena😅,Most men used to go to clubs to grow and bond with fellow men away from the other gender until they started following them kwa clubs tena😅,True,piece_relevant
Mambo ni mengi......,126,11.0,2025-11-11T16:35:17.000Z,masoappiere,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7292813477659821061,7571507259592016652,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/44ed4a6585bc863f669137b8738d454f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c4f0f3cc&x-expires=1775620800&x-signature=Orlq5Mskk%2BQNPd8J4glWkzEx25A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Mambo ni mengi......,Mambo ni mengi......,True,piece_relevant
Is it me alone uchukia nduru za club na high volume music,33,9.0,2025-11-11T18:26:41.000Z,38074973frenzy,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7046322103147480069,7571535148401132344,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/ef2e531fa502fc1153e9657c6fea6282~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=75514b18&x-expires=1775620800&x-signature=v%2BO%2FI6%2ByZ3jBEJnGqBzHCieJU0s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Is it me alone uchukia nduru za club na high volume music,Is it me alone uchukia nduru za club na high volume music,True,piece_relevant
wamesota😅,14,72.0,2025-11-12T01:07:27.000Z,zyra_mali,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6821986602190685189,7571639181249446712,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/2c115878b304492416fb26cd2dc1158b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a9bb94b8&x-expires=1775620800&x-signature=AJwQdkqH76AYNmiU9F6LgaFoEZs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,wamesota😅,wamesota😅,False,too_short
Men have found their peace ✌️,82,1.0,2025-11-11T16:56:51.000Z,mtaliimmoja,https://www.tiktok.com/@eddykimani/video/7571404660389465400,6977256789420131333,7571512254068212491,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/c45df6538822d0ceb00f9136631b5931~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=ec513691&x-expires=1775620800&x-signature=Rt4mC64V01P9YkvRdMhWQ4V6VTY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Men have found their peace ✌️,Men have found their peace ✌️,True,piece_relevant
"Nilikuwa simp lakini after attending Amerix University,,, now I'm doing PhD with Kibee",35,1.0,2025-11-12T04:34:31.000Z,kasamanimeshack,https://www.tiktok.com/@eddykimani/video/7571404660389465400,7096676823371777029,7571690582596354828,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/a9222160650e5587421f3926d08370fa~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=c2c59d23&x-expires=1775620800&x-signature=RgR8e%2BO7BIpjV6uyfGLsNgpukI8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"Nilikuwa simp lakini after attending Amerix University,,, now I'm doing PhD with Kibee","Nilikuwa simp lakini after attending Amerix University,,, now I'm doing PhD with Kibee",False,weak
