text,diggCount,replyCommentTotal,createTimeISO,uniqueId,videoWebUrl,uid,cid,avatarThumbnail,comment_text,comment_text_norm,keep,keep_reason
"I'm 38 na sina gari,lakini niko niko healthy that's all that matters 💯",2019,38.0,2025-07-21T03:41:09.000Z,gracyqui1,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6838445902206649349,7529375087465153336,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7336592956855418888~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=53cb7311&x-expires=1775613600&x-signature=X7MM7z5qeZ96%2FUGX84uUzulv6YA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"I'm 38 na sina gari,lakini niko niko healthy that's all that matters 💯","I'm 38 na sina gari,lakini niko niko healthy that's all that matters 💯",True,piece_relevant
"atleast nimesoma kitu,...ego is loud,growth is quiet ..",1168,13.0,2025-07-21T05:39:05.000Z,kate_smily,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6824027968115049477,7529405469451256581,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/299a2cf55b132bc9e1c270385b2d7e24~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2f387092&x-expires=1775613600&x-signature=%2FjdktsAdyb6nVEOeXi24eXqlEng%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"atleast nimesoma kitu,...ego is loud,growth is quiet ..","atleast nimesoma kitu,...ego is loud,growth is quiet ..",True,piece_relevant
I sold my car to take care of dads health ..I don't feel like I failed.,487,20.0,2025-07-21T14:18:38.000Z,zackdemosh,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6863795585797276673,7529539409411277624,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/242392e38091152d86d3f89646d608eb~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=83872c52&x-expires=1775613600&x-signature=yTM7A8%2FnyCJkJSZbTzgvQkJel%2FE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,I sold my car to take care of dads health ..I don't feel like I failed.,I sold my car to take care of dads health ..I don't feel like I failed.,True,piece_relevant
Then there's me who can't drive anymore due to autoimmune disease 😊,353,46.0,2025-07-21T01:56:03.000Z,msaita,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6773910724626859014,7529348026562691845,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/1ee876f7ce8ffc0477910a2c5dac7450~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ecad5c6&x-expires=1775613600&x-signature=qEwD1Rg2I9am4qfiEyb%2BtzUcHJo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Then there's me who can't drive anymore due to autoimmune disease 😊,Then there's me who can't drive anymore due to autoimmune disease 😊,False,weak
My dad bought his first car yesterday at 54years......life haina manual,269,11.0,2025-07-23T04:04:41.000Z,shironganga25,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7016616343429628934,7530123352934040376,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/2aef689564a4e3e8af5807716f7e9080~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=3479e474&x-expires=1775613600&x-signature=VvN28uUQVZAtDnImD1khg8ZTd5g%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,My dad bought his first car yesterday at 54years......life haina manual,My dad bought his first car yesterday at 54years......life haina manual,True,piece_relevant
Haina kabisa...👏,39,,2025-07-23T04:05:23.000Z,eddykimani,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6748062807482680326,7530123505149870854,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/56a324f6f566824ac861cf514d4c2017~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1a829251&x-expires=1775613600&x-signature=maNr0Nxkd%2FcpFulbTcYd%2FDXcLgU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Haina kabisa...👏,Haina kabisa...👏,False,too_short
"advice this boy...
at age 29 I owned a car today am 40 and I don't own one.",647,26.0,2025-07-20T22:14:33.000Z,nicholas.ngaithe,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7229775247237628934,7529290954781786885,https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/584266a1a7e258aa39d62e7772f86bfc~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=32da1ed4&x-expires=1775613600&x-signature=dPfaPBXj%2FS6VkYbEM4VTQdShUU8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,"advice this boy...
at age 29 I owned a car today am 40 and I don't own one.",advice this boy... at age 29 I owned a car today am 40 and I don't own one.,True,piece_relevant
Good health is what we should be wishing for. Everything else is just extras,128,6.0,2025-07-21T04:26:09.000Z,fyne_tattoo,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6910533061835244550,7529386740068696839,https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/d2557cde95d8baa4e9eb7681f0b49e66~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=2341bdb3&x-expires=1775613600&x-signature=UwkkuhpieEsNL7g9cdyZVkv3zD8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,Good health is what we should be wishing for. Everything else is just extras,Good health is what we should be wishing for. Everything else is just extras,True,piece_relevant
his clients have delt with him already😂.anakula jeuri yake sasa,72,7.0,2025-07-21T06:56:34.000Z,dutchess254,https://www.tiktok.com/@eddykimani/video/7529240986954861829,6868342299609318405,7529425408133448504,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/e895a658175eba23908ceccd3917c465~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dd9a559d&x-expires=1775613600&x-signature=oK4qbKpiLu0IgEx1j%2BIpwbGpMhQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,his clients have delt with him already😂.anakula jeuri yake sasa,his clients have delt with him already😂.anakula jeuri yake sasa,False,weak
sisi tuna privilege ya kupanda hio supermetro kuna those who walk to Work na pia we have different responsibilities no pressure ya gari ipo siku itajipa👌👌👌,28,0.0,2025-07-21T10:24:58.000Z,deeeddie29,https://www.tiktok.com/@eddykimani/video/7529240986954861829,7342523956044334085,7529479178224878341,https://p19-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/74570c1ca9421aa2d27f02023e6e6d3a~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=e2b9df0e&x-expires=1775613600&x-signature=vtU5F%2BSSQAcMHBeUuF74XHGOw%2B8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast8,sisi tuna privilege ya kupanda hio supermetro kuna those who walk to Work na pia we have different responsibilities no pressure ya gari ipo siku itajipa👌👌👌,sisi tuna privilege ya kupanda hio supermetro kuna those who walk to Work na pia we have different responsibilities no pressure ya gari ipo siku itajipa👌👌👌,False,weak
